Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Successful.count,Successful.length,Zone,,,,,,,,,,,,,,,
CL3_5,-34.37646,115.08992,20130101,0:00:00,Ngari Capes,No-take,CL3,27.8,,Yes,Yes,Sanctuary Zone,,,,,,,,,,,,,,,5
CL4_1,-34.38602,115.09892,20130101,0:00:00,Ngari Capes,No-take,CL4,28.8,,Yes,Yes,Sanctuary Zone,,,,,,,,,,,,,,,1
CL4_2,-34.38339,115.09949,20130101,0:00:00,Ngari Capes,No-take,CL4,27.9,,Yes,Yes,Sanctuary Zone,,,,,,,,,,,,,,,2
CL4_3,-34.38554,115.09546,20130101,0:00:00,Ngari Capes,No-take,CL4,29.4,,Yes,Yes,Sanctuary Zone,,,,,,,,,,,,,,,3
CL4_4,-34.38544,115.10156,20130101,0:00:00,Ngari Capes,No-take,CL4,28.7,,Yes,Yes,Sanctuary Zone,,,,,,,,,,,,,,,4
CL4_5,-34.38787,115.09687,20130101,0:00:00,Ngari Capes,No-take,CL4,31.3,,Yes,Yes,Sanctuary Zone,,,,,,,,,,,,,,,5
CL5_1,-34.39294,115.10999,20130101,0:00:00,Ngari Capes,No-take,CL5,30.7,,Yes,Yes,Sanctuary Zone,,,,,,,,,,,,,,,1
CL5_2,-34.3906,115.10956,20130101,0:00:00,Ngari Capes,No-take,CL5,26.8,,Yes,Yes,Sanctuary Zone,,,,,,,,,,,,,,,2
CL5_3,-34.39252,115.10746,20130101,0:00:00,Ngari Capes,No-take,CL5,30.6,,Yes,Yes,Sanctuary Zone,,,,,,,,,,,,,,,3
CL5_4,-34.39084,115.11319,20130101,0:00:00,Ngari Capes,No-take,CL5,26.3,,Yes,Yes,Sanctuary Zone,,,,,,,,,,,,,,,4
CL5_5,-34.39329,115.11371,20130101,0:00:00,Ngari Capes,No-take,CL5,29,,Yes,Yes,Sanctuary Zone,,,,,,,,,,,,,,,5
CNB3_1,-33.51803,115.00666,20130101,0:00:00,Ngari Capes,No-take,CN3,33,,Yes,Yes,Sanctuary Zone,,,,,,,,,,,,,,,1
CNB3_2,-33.52044,115.00566,20130101,0:00:00,Ngari Capes,No-take,CN3,30,,Yes,Yes,Sanctuary Zone,,,,,,,,,,,,,,,2
CNB3_3,-33.52232,115.00702,20130101,0:00:00,Ngari Capes,No-take,CN3,28,,Yes,Yes,Sanctuary Zone,,,,,,,,,,,,,,,3
CNB3_4,-33.52149,115.00987,20130101,0:00:00,Ngari Capes,No-take,CN3,23,,Yes,Yes,Sanctuary Zone,,,,,,,,,,,,,,,4
CNB3_5,-33.5197,115.00859,20130101,0:00:00,Ngari Capes,No-take,CN3,28,,Yes,Yes,Sanctuary Zone,,,,,,,,,,,,,,,5
CNB4_1,-33.52203,114.99871,20130101,0:00:00,Ngari Capes,No-take,CN4,28,,Yes,Yes,Sanctuary Zone,,,,,,,,,,,,,,,1
CNB4_2,-33.52299,114.99556,20130101,0:00:00,Ngari Capes,No-take,CN4,36,,Yes,Yes,Sanctuary Zone,,,,,,,,,,,,,,,2
CNB4_3,-33.52103,114.99316,20130101,0:00:00,Ngari Capes,No-take,CN4,35,,Yes,Yes,Sanctuary Zone,,,,,,,,,,,,,,,3
CNB4_4,-33.52415,114.9975,20130101,0:00:00,Ngari Capes,No-take,CN4,31,,Yes,Yes,Sanctuary Zone,,,,,,,,,,,,,,,4
CNB4_5,-33.52069,114.99579,20130101,13:37:00,Ngari Capes,No-take,CN4,45,,Yes,No,Sanctuary Zone,,,,,,,,,,,,,,,5
CNB5_1,-33.53458,114.99641,20130101,0:00:00,Ngari Capes,No-take,CN5,28,,Yes,Yes,Sanctuary Zone,,,,,,,,,,,,,,,1
CNB5_2,-33.53511,114.99334,20130101,11:52:00,Ngari Capes,No-take,CN5,32,,Yes,No,Sanctuary Zone,,,,,,,,,,,,,,,2
CNB5_3,-33.53684,114.99628,20130101,0:00:00,Ngari Capes,No-take,CN5,29,,Yes,Yes,Sanctuary Zone,,,,,,,,,,,,,,,3
CNB5_4,-33.5352,114.99888,20130101,0:00:00,Ngari Capes,No-take,CN5,23,,Yes,Yes,Sanctuary Zone,,,,,,,,,,,,,,,4
CNB5_5,-33.53258,114.99641,20130101,0:00:00,Ngari Capes,No-take,CN5,26,,Yes,Yes,Sanctuary Zone,,,,,,,,,,,,,,,5
EGB3_1,-33.56578,115.42083,20130101,0:00:00,Ngari Capes,No-take,EGB3,11,,Yes,Yes,Sanctuary Zone,,,,,,,,,,,,,,,1
EGB3_2,-33.56322,115.42043,20130101,0:00:00,Ngari Capes,No-take,EGB3,11,,Yes,Yes,Sanctuary Zone,,,,,,,,,,,,,,,2
EGB3_3,-33.56147,115.42218,20130101,0:00:00,Ngari Capes,No-take,EGB3,11,,Yes,Yes,Sanctuary Zone,,,,,,,,,,,,,,,3
EGB3_4,-33.56521,115.42511,20130101,0:00:00,Ngari Capes,No-take,EGB3,11,,Yes,Yes,Sanctuary Zone,,,,,,,,,,,,,,,4
EGB3_5,-33.56315,115.42584,20130101,0:00:00,Ngari Capes,No-take,EGB3,11,,Yes,Yes,Sanctuary Zone,,,,,,,,,,,,,,,5
EGB4_1,-33.57303,115.41552,20130101,0:00:00,Ngari Capes,No-take,EGB4,10.2,,Yes,Yes,Sanctuary Zone,,,,,,,,,,,,,,,1
EGB4_2,-33.57036,115.41727,20130101,0:00:00,Ngari Capes,No-take,EGB4,10.9,,Yes,Yes,Sanctuary Zone,,,,,,,,,,,,,,,2
EGB4_3,-33.56972,115.41414,20130101,0:00:00,Ngari Capes,No-take,EGB4,11.4,,Yes,Yes,Sanctuary Zone,,,,,,,,,,,,,,,3
EGB4_4,-33.5704,115.41084,20130101,0:00:00,Ngari Capes,No-take,EGB4,11.3,,Yes,Yes,Sanctuary Zone,,,,,,,,,,,,,,,4
EGB4_5,-33.57296,115.41163,20130101,0:00:00,Ngari Capes,No-take,EGB4,11,,Yes,Yes,Sanctuary Zone,,,,,,,,,,,,,,,5
EGB5_2,-33.5755,115.41193,20130101,0:00:00,Ngari Capes,No-take,EGB5,10.1,,Yes,Yes,Sanctuary Zone,,,,,,,,,,,,,,,2
EGB5_3,-33.57818,115.41492,20130101,0:00:00,Ngari Capes,No-take,EGB5,10.6,,Yes,Yes,Sanctuary Zone,,,,,,,,,,,,,,,3
EGB5_4,-33.57782,115.40905,20130101,0:00:00,Ngari Capes,No-take,EGB5,10.4,,Yes,Yes,Sanctuary Zone,,,,,,,,,,,,,,,4
EGB5_5,-33.58037,115.4119,20130101,0:00:00,Ngari Capes,No-take,EGB5,10.3,,Yes,Yes,Sanctuary Zone,,,,,,,,,,,,,,,5
INB3_1,-33.68305,114.9765667,20130101,12:15:00,Ngari Capes,No-take,INB3,27.5,,Yes,No,Sanctuary Zone,,,,,,,,,,,,,,,1
INB3_2,-33.68098,114.97784,20130101,0:00:00,Ngari Capes,No-take,INB3,30,,Yes,Yes,Sanctuary Zone,,,,,,,,,,,,,,,2
INB3_3,-33.68061,114.97417,20130101,0:00:00,Ngari Capes,No-take,INB3,27.1,,Yes,Yes,Sanctuary Zone,,,,,,,,,,,,,,,3
INB3_4,-33.68284,114.97322,20130101,0:00:00,Ngari Capes,No-take,INB3,34.3,,Yes,Yes,Sanctuary Zone,,,,,,,,,,,,,,,4
