Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Successful.count,Successful.length,Zone
CL3_3,-34.3802,115.08596,20090301,0:00:00,Ngari Capes,No-take,CL3,27,,Yes,Yes,Sanctuary Zone
CL3_4,-34.38001,115.09085,20090301,0:00:00,Ngari Capes,No-take,CL3,25,,Yes,Yes,Sanctuary Zone
CL4_1,-34.38602,115.09892,20090301,0:00:00,Ngari Capes,No-take,CL4,26,,Yes,Yes,Sanctuary Zone
CL4_2,-34.38339,115.09949,20090301,10:18:00,Ngari Capes,No-take,CL4,24,,Yes,Yes,Sanctuary Zone
CL4_3,-34.38554,115.09546,20090301,0:00:00,Ngari Capes,No-take,CL4,27,,Yes,Yes,Sanctuary Zone
CL4_4,-34.38544,115.10156,20090301,0:00:00,Ngari Capes,No-take,CL4,23,,Yes,Yes,Sanctuary Zone
CL4_5,-34.38787,115.09687,20090301,0:00:00,Ngari Capes,No-take,CL4,26,,Yes,Yes,Sanctuary Zone
CL5_1,-34.39294,115.10999,20090301,0:00:00,Ngari Capes,No-take,CL5,26,,Yes,Yes,Sanctuary Zone
CL5_2,-34.3906,115.10956,20090301,11:54:00,Ngari Capes,No-take,CL5,24,,Yes,No,Sanctuary Zone
CL5_3,-34.39252,115.10746,20090301,0:00:00,Ngari Capes,No-take,CL5,28,,Yes,Yes,Sanctuary Zone
CL5_4,-34.39084,115.11319,20090301,0:00:00,Ngari Capes,No-take,CL5,24,,Yes,Yes,Sanctuary Zone
CL5_5,-34.39329,115.11371,20090301,0:00:00,Ngari Capes,No-take,CL5,24,,Yes,Yes,Sanctuary Zone
CNB3_1,-33.5183,115.0066,20090301,0:00:00,Ngari Capes,No-take,CNB3,34,,Yes,Yes,Sanctuary Zone
CNB3_2,-33.5206,115.0056,20090301,11:35:00,Ngari Capes,No-take,CNB3,31,,Yes,No,Sanctuary Zone
CNB3_3,-33.5224,115.007,20090301,0:00:00,Ngari Capes,No-take,CNB3,28,,Yes,Yes,Sanctuary Zone
CNB3_4,-33.5222,115.01,20090301,0:00:00,Ngari Capes,No-take,CNB3,26,,Yes,Yes,Sanctuary Zone
CNB3_5,-33.5201,115.0086,20090301,0:00:00,Ngari Capes,No-take,CNB3,32,,Yes,Yes,Sanctuary Zone
CNB4_1,-33.5221,114.9987,20090301,0:00:00,Ngari Capes,No-take,CNB4,30,,Yes,Yes,Sanctuary Zone
CNB4_2,-33.5231,114.9955,20090301,9:59:00,Ngari Capes,No-take,CNB4,38,,Yes,No,Sanctuary Zone
CNB4_3,-33.5214,114.9932,20090301,0:00:00,Ngari Capes,No-take,CNB4,47,,Yes,Yes,Sanctuary Zone
CNB4_4,-33.5242,114.9977,20090301,0:00:00,Ngari Capes,No-take,CNB4,30,,Yes,Yes,Sanctuary Zone
CNB4_5,-33.5208,114.9958,20090301,0:00:00,Ngari Capes,No-take,CNB4,45,,Yes,Yes,Sanctuary Zone
CNB5_1,-33.5345,114.9964,20090301,0:00:00,Ngari Capes,No-take,CNB5,23,,Yes,Yes,Sanctuary Zone
CNB5_2,-33.5351,114.9935,20090301,9:43:00,Ngari Capes,No-take,CNB5,36,,Yes,No,Sanctuary Zone
CNB5_3,-33.5369,114.9964,20090301,0:00:00,Ngari Capes,No-take,CNB5,26,,Yes,Yes,Sanctuary Zone
CNB5_4,-33.5352,114.9989,20090301,0:00:00,Ngari Capes,No-take,CNB5,15,,Yes,Yes,Sanctuary Zone
CNB5_5,-33.5323,114.9969,20090301,0:00:00,Ngari Capes,No-take,CNB5,23,,Yes,Yes,Sanctuary Zone
INB3_1,-33.683,114.9766,20090301,0:00:00,Ngari Capes,No-take,INB3,29,,Yes,Yes,Sanctuary Zone
INB3_2,-33.681,114.9779,20090301,12:03:00,Ngari Capes,No-take,INB3,33,,Yes,No,Sanctuary Zone
INB3_3,-33.6806,114.9743,20090301,0:00:00,Ngari Capes,No-take,INB3,33,,Yes,Yes,Sanctuary Zone
INB3_4,-33.6828,114.9734,20090301,0:00:00,Ngari Capes,No-take,INB3,34,,Yes,Yes,Sanctuary Zone
INB3_5,-33.6838,114.9792,20090301,0:00:00,Ngari Capes,No-take,INB3,30,,Yes,Yes,Sanctuary Zone
INB4_1,-33.6903,114.9763,20090301,0:00:00,Ngari Capes,No-take,INB4,10,,Yes,Yes,Sanctuary Zone
INB4_2,-33.6888,114.9716,20090301,11:44:00,Ngari Capes,No-take,INB4,24,,Yes,No,Sanctuary Zone
INB4_3,-33.6906,114.9812,20090301,0:00:00,Ngari Capes,No-take,INB4,7,,Yes,Yes,Sanctuary Zone
INB4_4,-33.6927,114.9695,20090301,0:00:00,Ngari Capes,No-take,INB4,12,,Yes,Yes,Sanctuary Zone
INB4_5,-33.6935,114.9743,20090301,0:00:00,Ngari Capes,No-take,INB4,6,,Yes,Yes,Sanctuary Zone
INB5_1,-33.698,114.9642,20090301,0:00:00,Ngari Capes,No-take,INB5,25,,Yes,Yes,Sanctuary Zone
INB5_2,-33.6997,114.963,20090301,10:01:00,Ngari Capes,No-take,INB5,35,,Yes,No,Sanctuary Zone
INB5_3,-33.6961,114.9648,20090301,0:00:00,Ngari Capes,No-take,INB5,15,,Yes,Yes,Sanctuary Zone
INB5_4,-33.7004,114.9666,20090301,0:00:00,Ngari Capes,No-take,INB5,15,,Yes,Yes,Sanctuary Zone
INB5_5,-33.6977,114.969,20090301,0:00:00,Ngari Capes,No-take,INB5,1,,Yes,Yes,Sanctuary Zone
