OpCode	ExportVersion	DateTimeCreate	PictureDirectory	EMObs
NIN_OSZ1-3-3_20130418	1.07	2017 07 04 14:52:22	E:\Videos\	NIN_OSZ1-3-3_20130418.EMObs
NIN_OSZ1-3-4_20130418	1.07	2017 07 04 14:52:22	E:\Videos\	NIN_OSZ1-3-4_20130418.EMObs
NIN_OSZ1-3-5_20130418	1.07	2017 07 04 14:52:22	E:\Videos\	NIN_OSZ1-3-5_20130418.EMObs
NIN_OSZ1-3-6_20130418	1.07	2017 07 04 14:52:22	E:\Videos\	NIN_OSZ1-3-6_20130418.EMObs
NIN_PNZ1-1-1_20130414	1.07	2017 07 04 14:52:22	E:\Videos\	NIN_PNZ1-1-1_20130414.EMObs
NIN_PNZ1-1-2_20130414	1.07	2017 07 04 14:52:22	E:\Videos\	NIN_PNZ1-1-2_20130414.EMObs
NIN_PNZ1-1-3_20130414	1.07	2017 07 04 14:52:22	E:\Videos\	NIN_PNZ1-1-3_20130414.EMObs
NIN_PNZ1-1-4_20130414	1.07	2017 07 04 14:52:22	E:\Videos\	NIN_PNZ1-1-4_20130414.EMObs
NIN_PNZ1-1-6_20130414	1.07	2017 07 04 14:52:22	E:\Videos\	NIN_PNZ1-1-6_20130414.EMObs
NIN_PNZ1-2-1R_20130416	1.07	2017 07 04 14:52:22	E:\Videos\	NIN_PNZ1-2-1R_20130416.EMObs
NIN_PNZ1-2-2R_20130416	1.07	2017 07 04 14:52:22	E:\Videos\	NIN_PNZ1-2-2R_20130416.EMObs
NIN_PNZ1-2-3R_20130416	1.07	2017 07 04 14:52:22	E:\Videos\	NIN_PNZ1-2-3R_20130416.EMObs
NIN_PNZ1-2-4R_20130416	1.07	2017 07 04 14:52:22	E:\Videos\	NIN_PNZ1-2-4R_20130416.EMObs
NIN_PNZ1-2-5R_20130416	1.07	2017 07 04 14:52:22	E:\Videos\	NIN_PNZ1-2-5R_20130416.EMObs
NIN_PNZ1-2-6R_20130416	1.07	2017 07 04 14:52:22	E:\Videos\	NIN_PNZ1-2-6R_20130416.EMObs
NIN_PNZ1-3-1-R_20130416	1.07	2017 07 04 14:52:22	E:\Videos\	NIN_PNZ1-3-1-R_20130416.EMObs
NIN_PNZ1-3-2-R_20130416	1.07	2017 07 04 14:52:22	E:\Videos\	NIN_PNZ1-3-2-R_20130416.EMObs
NIN_PNZ1-3-3-R_20130416	1.07	2017 07 04 14:52:22	E:\Videos\name change\	NIN_PNZ1-3-3-R_20130416.EMObs
NIN_PNZ1-3-4-R_20130416	1.07	2017 07 04 14:52:22	E:\Videos\name change\	NIN_PNZ1-3-4-R_20130416.EMObs
NIN_PNZ1-3-5-R_20130416	1.07	2017 07 04 14:52:22	E:\Videos\name change\	NIN_PNZ1-3-5-R_20130416.EMObs
NIN_PNZ1-3-6-R_20130416	1.07	2017 07 04 14:52:22	E:\Videos\name change\	NIN_PNZ1-3-6-R_20130416.EMObs
NIN_PNZ2-2-1_20130415	1.07	2017 07 04 14:52:22	E:\Videos\	NIN_PNZ2-2-1_20130415.EMObs
NIN_PNZ2-2-3_20130415	1.07	2017 07 04 14:52:22	E:\Videos\	NIN_PNZ2-2-3_20130415.EMObs
NIN_PNZ2-2-4_20130415	1.07	2017 07 04 14:52:22	E:\Videos\	NIN_PNZ2-2-4_20130415.EMObs
NIN_PNZ2-2-6_20130415	1.07	2017 07 04 14:52:22	E:\Videos\	NIN_PNZ2-2-6_20130415.EMObs
NIN_PNZ2-3-1_20130415	1.07	2017 07 04 14:52:22	E:\Videos\	NIN_PNZ2-3-1_20130415.EMObs
NIN_PNZ2-3-2_20130415	1.07	2017 07 04 14:52:22	E:\Videos\	NIN_PNZ2-3-2_20130415.EMObs
NIN_PNZ2-3-3_20130415	1.07	2017 07 04 14:52:22	E:\Videos\	NIN_PNZ2-3-3_20130415.EMObs
NIN_PNZ2-3-4_20130415	1.07	2017 07 04 14:52:22	E:\Videos\	NIN_PNZ2-3-4_20130415.EMObs
NIN_PSZ1-1-1_20130415	1.07	2017 07 04 14:52:22	E:\Videos\	NIN_PSZ1-1-1_20130415.EMObs
NIN_PSZ1-1-2_20130415	1.07	2017 07 04 14:52:22	E:\Videos\	NIN_PSZ1-1-2_20130415.EMObs
NIN_PSZ1-1-3_20130415	1.07	2017 07 04 14:52:22	E:\Videos\	NIN_PSZ1-1-3_20130415.EMObs
NIN_PSZ1-1-4_20130415	1.07	2017 07 04 14:52:22	E:\Videos\	NIN_PSZ1-1-4_20130415.EMObs
NIN_PSZ1-2-1_20130415	1.07	2017 07 04 14:52:22	E:\Videos\	NIN_PSZ1-2-1_20130415.EMObs
NIN_PSZ1-2-2_20130415	1.07	2017 07 04 14:52:22	E:\Videos\	NIN_PSZ1-2-2_20130415.EMObs
NIN_PSZ1-2-3_20130415	1.07	2017 07 04 14:52:22	E:\Videos\	NIN_PSZ1-2-3_20130415.EMObs
NIN_PSZ1-2-4_20130415	1.07	2017 07 04 14:52:22	E:\Videos\	NIN_PSZ1-2-4_20130415.EMObs
NIN_PSZ1-3-1_20130415	1.07	2017 07 04 14:52:22	E:\Videos\	NIN_PSZ1-3-1_20130415.EMObs
NIN_PSZ1-3-2_20130415	1.07	2017 07 04 14:52:22	E:\Videos\	NIN_PSZ1-3-2_20130415.EMObs
NIN_PSZ1-3-3_20130415	1.07	2017 07 04 14:52:22	E:\Videos\	NIN_PSZ1-3-3_20130415.EMObs
