OpCode	CameraIndex	Descriptor	CameraModel	ImageRows	ImageCols	XPixelSize	YPixelSize	XPPOffset	YPPOffset	FocalLength	RadialK3	RadialK5	RadialK7	DecentringP1	DecentringP2	Orthogonality	Affinity	CameraX	CameraY	CameraZ	Omega	Phi	Kappa	UnitName
JV_046	1	Right	Derived from CAL	1080	1920	0.0025000000	0.0025000000	-0.0480830354	-0.0505871228	4.1743245457	0.0020063334	0.0004288635	0.0000000000	-0.0009765666	-0.0008715756	0.0000000000	-0.0004206534	328.1287947317	0.0000000000	0.0000000000	-0.2217751418	3.4041223885	-3.2688215793	mm
HRSPZS2-R3	0	Left	Derived from CAL	1080	1920	0.0025000000	0.0025000000	0.0706906418	-0.0123353433	4.1679907267	0.0036294700	0.0001307186	0.0000000000	0.0005597894	-0.0002089707	0.0000000000	-0.0000675376	-335.6393979559	0.0000000000	0.0000000000	-0.5088891610	-7.5078038502	-2.2341806552	mm
HRSPZS2-R3	1	Right	Derived from CAL	1080	1920	0.0025000000	0.0025000000	0.0786582354	-0.0579116105	4.1863551135	0.0033952484	0.0003194824	0.0000000000	0.0008250546	-0.0012474052	0.0000000000	0.0000140972	335.6393979559	0.0000000000	0.0000000000	0.5088891610	5.1609382193	-2.1590598761	mm
GUZ(ER)S1-R2	0	Left	Derived from CAL	1080	1920	0.0025000000	0.0025000000	-0.0022728362	0.0137172538	4.1731873097	0.0050593758	-0.0001368920	0.0000000000	0.0000716741	0.0000113314	0.0000000000	-0.0013506590	-336.2704528621	0.0000000000	0.0000000000	0.2863677957	-7.3914121164	1.9109815228	mm
GUZ(ER)S1-R2	1	Right	Derived from CAL	1080	1920	0.0025000000	0.0025000000	0.0583799880	0.0430544005	4.1726435742	0.0033407004	0.0001249565	0.0000000000	0.0007860689	0.0007878291	0.0000000000	-0.0008755567	336.2704528621	0.0000000000	0.0000000000	-0.2863677957	8.2028624481	2.4701706183	mm
GUZ(JB)S1-R2	0	Left	Derived from CAL	1080	1920	0.0025000000	0.0025000000	0.0706906418	-0.0123353433	4.1679907267	0.0036294700	0.0001307186	0.0000000000	0.0005597894	-0.0002089707	0.0000000000	-0.0000675376	-335.6393979559	0.0000000000	0.0000000000	-0.5088891610	-7.5078038502	-2.2341806552	mm
GUZ(JB)S1-R2	1	Right	Derived from CAL	1080	1920	0.0025000000	0.0025000000	0.0786582354	-0.0579116105	4.1863551135	0.0033952484	0.0003194824	0.0000000000	0.0008250546	-0.0012474052	0.0000000000	0.0000140972	335.6393979559	0.0000000000	0.0000000000	0.5088891610	5.1609382193	-2.1590598761	mm
PHSZS1-R1	0			0	0	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	mm
PHSZS1-R1	1			0	0	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	mm
GUZ(SC)S2-R2	0	Left	Derived from CAL	1080	1920	0.0025000000	0.0025000000	-0.0022728362	0.0137172538	4.1731873097	0.0050593758	-0.0001368920	0.0000000000	0.0000716741	0.0000113314	0.0000000000	-0.0013506590	-336.2704528621	0.0000000000	0.0000000000	0.2863677957	-7.3914121164	1.9109815228	mm
GUZ(SC)S2-R2	1	Right	Derived from CAL	1080	1920	0.0025000000	0.0025000000	0.0583799880	0.0430544005	4.1726435742	0.0033407004	0.0001249565	0.0000000000	0.0007860689	0.0007878291	0.0000000000	-0.0008755567	336.2704528621	0.0000000000	0.0000000000	-0.2863677957	8.2028624481	2.4701706183	mm
FISPZS1-R1	0			0	0	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	mm
FISPZS1-R1	1			0	0	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	mm
GUZ(SC)S2-R1	0	Left	Derived from CAL	1080	1920	0.0025000000	0.0025000000	0.0067392151	-0.0229221136	4.1811890608	0.0046190977	-0.0003313903	0.0000000000	0.0001890502	-0.0008604666	0.0000000000	-0.0014035493	-339.0299977323	0.0000000000	0.0000000000	-0.3915435992	-6.2202698809	-2.3406132533	mm
