OpCode	ExportVersion	DateTimeCreate	PictureDirectory	EMObs
GUZ(GH)S2-R3	1.07	2017 05 12 13:11:51	\\C-fish-002\F\	GUZ(GH)S2-R3.EMObs
FISPZS4-R1	1.07	2017 05 12 13:11:51	M:\	FISPZS4-R1.EMObs
BISZS2-R2	1.07	2017 05 12 13:11:51	M:\Sanctuary Zones\	BISZS2-R2.EMObs
GUZ(SC)S1-R3	1.07	2017 05 12 13:11:51	F:\	GUZ(SC)S1-R3.EMObs
HRSPZS3-R1	1.07	2017 05 12 13:11:51	E:\	HRSPZS3-R1.EMObs
NHSZS1-R4	1.07	2017 05 12 13:11:51	\\C-fish-002\F\Sanctuary Zones\	NHSZS1-R4.EMObs
GUZ(ER)S1-R4	1.07	2017 05 12 13:11:51	E:\	GUZ(ER)S1-R4.EMObs
GUZ(JB)S2-R3	1.07	2017 05 12 13:11:51	E:\	GUZ(JB)S2-R3.EMObs
FISPZS2-R3	1.07	2017 05 12 13:11:51	G:\	FISPZS2-R3.EMObs
GUZ(GH)S1-R4	1.07	2017 05 12 13:11:51	G:\	GUZ(GH)S1-R4.EMObs
FISZS1-R4	1.07	2017 05 12 13:11:51	\\C-fish-002\F\Sanctuary Zones\	FISZS1-R4.EMObs
GUZ(C)S2-R2	1.07	2017 05 12 13:11:51	\\C-fish-002\f\	GUZ(C)S2-R2.EMObs
JC26_JRMR26	1.07	2017 05 12 13:11:51	E:\	JC26_JRMR26.EMObs
GUZ(JB)S1-R4	1.07	2017 05 12 13:11:51	\\C-fish-002\f\	GUZ(JB)S1-R4.EMObs
BISZS2-R3	1.07	2017 05 12 13:11:51	\\C-fish-002\f\Sanctuary Zones\	BISZS2-R3.EMObs
NHSZS1-R1	1.07	2017 05 12 13:11:51	\\C-fish-002\F\Sanctuary Zones\	NHSZS1-R1.EMObs
FISPZS2-R2	1.07	2017 05 12 13:11:51	F:\	FISPZS2-R2.EMObs
GUZ(C)S1-R4	1.07	2017 05 12 13:11:51	\\C-fish-002\f\	GUZ(C)S1-R4.EMObs
BISZS1-R4	1.07	2017 05 12 13:11:51	M:\Sanctuary Zones\	BISZS1-R4.EMObs
GUZ(ER)S2-R1	1.07	2017 05 12 13:11:51	\\C-fish-002\f\	GUZ(ER)S2-R1.EMObs
JV_031	1.07	2017 05 12 13:11:51	G:\	JV_031.EMObs
HRSPZS1-R3	1.07	2017 05 12 13:11:51	\\son1\facultyresearch\sae\wauvc\Project Folders\Jurien BRUVs - Megan Honours\Jurien Converted Files\	HRSPZS1-R3.EMObs
HRSPZS3-R2	1.07	2017 05 12 13:11:51	G:\	HRSPZS3-R2.EMObs
GUZ(GH)S1-R3	1.07	2017 05 12 13:11:51	\\C-fish-002\f\	GUZ(GH)S1-R3.EMObs
JV_013	1.07	2017 05 12 13:11:51	G:\	JV_013.EMObs
JC33_GRMR33	1.07	2017 05 12 13:11:51	\\c-fish-002\F\	JC33_GRMR33.EMObs
GUZ(JB)S2-R4	1.07	2017 05 12 13:11:51	G:\	GUZ(JB)S2-R4.EMObs
JV_025	1.07	2017 05 12 13:11:51	\\C-fish-002\f\	JV_025.EMObs
PHSZS1-R2	1.07	2017 05 12 13:11:51	\\C-fish-002\f\Sanctuary Zones\	PHSZS1-R2.EMObs
HRSPZS3-R3	1.07	2017 05 12 13:11:51	G:\	HRSPZS3-R3.EMObs
GUZ(ER)S2-R2	1.07	2017 05 12 13:11:51	\\C-fish-002\f\	GUZ(ER)S2-R2.EMObs
GUZ(JB)S2-R2	1.07	2017 05 12 13:11:51	\\C-fish-002\f\	GUZ(JB)S2-R2.EMObs
HRSPZS2-R4	1.07	2017 05 12 13:11:51	G:\	HRSPZS2-R4.EMObs
PHSZS1-R4	1.07	2017 05 12 13:11:51	F:\Sanctuary Zones\	PHSZS1-R4.EMObs
GUZ(C)S1-R3	1.07	2017 05 12 13:11:51	\\C-fish-002\f\	GUZ(C)S1-R3.EMObs
GUZ(ER)S2-R4	1.07	2017 05 12 13:11:51	G:\	GUZ(ER)S2-R4.EMObs
