OpCode	Camera	MovieSeqIndex	StartTimeOffset	Format	Filename	Frames	Rate
GUZ(ER)S1-R3	0	0	0.00000	0	GUZ(ER)S1-R3_L25.avi	163230	29.97000
GUZ(ER)S1-R3	1	0	0.00000	0	GUZ(ER)S1-R3_R26.avi	141780	29.97000
HRSPZS3-R4	0	0	0.00000	0	HRSPZS3-R4_L13.avi	137760	29.97000
HRSPZS3-R4	1	0	0.00000	0	HRSPZS3-R4_R14.avi	137670	29.97000
BISZS2-R4	0	0	0.00000	0	BISZS2-R4_L1.avi	120960	29.97000
FISZS2-R3	0	0	0.00000	0	FISZS2-R3_L3.avi	124815	29.97000
FISZS2-R3	1	0	0.00000	0	FISZS2-R3_R4.avi	124800	29.97000
HRSPZS1-R4	0	0	0.00000	0	HRSPZS1-R4_L15.avi	180885	29.97000
HRSPZS1-R4	1	0	0.00000	0	HRSPZS1-R4_R16.avi	185955	29.97000
NHSZS1-R2	0	0	0.00000	0	NHSZS1-R2_L1.avi	122955	29.97000
JC10_JOIR10	0	0	0.00000	0	JC10_JOIR10_L11.avi	115845	29.97000
JC10_JOIR10	1	0	0.00000	0	JC10_JOIR10_R12.avi	115230	29.97000
FISPZS4-R3	0	0	0.00000	0	FISPZS4-R3_L23.avi	165930	29.97000
FISPZS4-R3	1	0	0.00000	0	FISPZS4-R3_R24.avi	166170	29.97000
HRSPZS1-R2	0	0	0.00000	0	HRSPZS1-R2_L25.avi	162405	29.97000
HRSPZS1-R2	1	0	0.00000	0	HRSPZS1-R2_R26.avi	161296	29.97000
GUZ(SC)S1-R1	0	0	0.00000	0	GUZ(SC)S1-R1_L5.avi	142260	29.97000
GUZ(SC)S1-R1	1	0	0.00000	0	GUZ(SC)S1-R1_R6.avi	141750	29.97000
JV_027	0	0	0.00000	0	JV-027_L11.avi	115980	29.97000
JV_027	1	0	0.00000	0	JV-027_R12.avi	84105	29.97000
FISPZS3-R1	0	0	0.00000	0	FISPZS3-R1_L1.avi	145720	29.97000
GUZ(ER)S1-R1	0	0	0.00000	0	GUZ(ER)S1-R1_L23.avi	159750	29.97000
GUZ(ER)S1-R1	1	0	0.00000	0	GUZ(ER)S1-R1_R24.avi	124365	29.97000
GUZ(GH)S2-R3	0	0	0.00000	0	GUZ(GH)S2-R3_L5.avi	113865	29.97000
FISPZS4-R1	0	0	0.00000	0	FISPZS4_R1_L15.avi	171880	29.97000
FISPZS4-R1	1	0	0.00000	0	FISPZS4-R1_R16.avi	171745	29.97000
BISZS2-R2	0	0	0.00000	0	BISZS2-R2_L15.avi	122010	29.97000
GUZ(SC)S1-R3	0	0	0.00000	0	GUZ(SC)S1-R3_L1.avi	153690	29.97000
HRSPZS3-R1	0	0	0.00000	0	HRSPZS3-R1_L1.avi	135645	29.97000
NHSZS1-R4	0	0	0.00000	0	NHSZS1-R4_L3.avi	123450	29.97000
NHSZS1-R4	1	0	0.00000	0	NHSZS1-R4_R4.avi	123585	29.97000
GUZ(ER)S1-R4	0	0	0.00000	0	GUZ(ER)S1-R4_L1.avi	141045	29.97000
