Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Successful.count,Successful.length,Depth,Observer,Transect_Length,Zone
SBMP_FishTurtle_20150310_2,-25.4863,112.97813,20150310,12:01:00,Shark Bay,Fished,SBTurtle,Yes,Yes,6,Nicole Ryan,50,General Use
SBMP_FishTurtle_20150310_3,-25.4863,112.97813,20150310,12:01:00,Shark Bay,Fished,SBTurtle,Yes,Yes,6,Nicole Ryan,50,General Use
SBMP_FishTurtle_20150310_4,-25.4863,112.97813,20150310,12:01:00,Shark Bay,Fished,SBTurtle,Yes,Yes,6,Nicole Ryan,50,General Use
SBMP_FishTurtle_20150310_5,-25.4863,112.97813,20150310,12:01:00,Shark Bay,Fished,SBTurtle,Yes,Yes,6,Nicole Ryan,50,General Use
SBMP_FishTurtle_20150310_6,-25.4863,112.97813,20150310,12:01:00,Shark Bay,Fished,SBTurtle,Yes,Yes,6,Nicole Ryan,50,General Use
SBMP_SB201_20150309_1,-25.26547,113.08123,20150309,12:01:00,Shark Bay,Fished,SB201,Yes,Yes,6,Nicole,50,Outside
SBMP_SB201_20150309_2,-25.26547,113.08123,20150309,12:01:00,Shark Bay,Fished,SB201,Yes,Yes,6,Nicole,50,Outside
SBMP_SB201_20150309_3,-25.26547,113.08123,20150309,12:01:00,Shark Bay,Fished,SB201,Yes,Yes,6,Nicole,50,Outside
SBMP_SB201_20150309_4,-25.26547,113.08123,20150309,12:01:00,Shark Bay,Fished,SB201,Yes,Yes,6,Nicole,50,Outside
SBMP_SB201_20150309_5,-25.26547,113.08123,20150309,12:01:00,Shark Bay,Fished,SB201,Yes,Yes,6,Nicole,50,Outside
SBMP_SB201_20150309_6,-25.26547,113.08123,20150309,12:01:00,Shark Bay,Fished,SB201,Yes,Yes,6,Nicole,50,Outside
