Sample,Family,Genus,Species,Count
JBMP36-3,Labridae,Thalassoma,lutescens,1
JBMP36-3,Pseudochromidae,Labracinus,lineatus,1
JBMP36-3,Labridae,Coris,auricularis,90
JBMP36-3,Enoplosidae,Enoplosus,armatus,2
JBMP36-3,Haemulidae,Plectorhinchus,flavomaculatus,2
JBMP36-3,Labridae,Bodianus,frenchii,1
JBMP36-3,Chaetodontidae,Chelmonops,curiosus,1
JBMP36-3,Labridae,Choerodon,rubescens,1
JBMP36-3,Pempherididae,Pempheris,klunzingeri,6
JBMP36-4,Latidae,Psammoperca,waigiensis,3
JBMP36-4,Pomacentridae,Pomacentrus,milleri,182
JBMP36-4,Kyphosidae,Kyphosus,sydneyanus,1
JBMP36-4,Pseudochromidae,Labracinus,lineatus,2
JBMP36-4,Labridae,Coris,auricularis,92
JBMP36-4,Haemulidae,Plectorhinchus,flavomaculatus,3
JBMP36-4,Labridae,Bodianus,frenchii,1
JBMP36-4,Labridae,Choerodon,rubescens,1
JBMP36-4,Labridae,Pseudolabrus,biserialis,2
JBMP36-4,Scorpididae,Scorpis,georgiana,1
JBMP36-4,Pomacentridae,Dascyllus,trimaculatus,1
JBMP36-4,Labridae,Notolabrus,parilus,1
JBMP36-4,Pomacentridae,Parma,occidentalis,1
JBMP36-4,Apogonidae,Ostorhinchus,victoriae,2
JBMP36-4,Pomacentridae,Chromis,westaustralis,1
JBMP36-4,Chaetodontidae,Chaetodon,assarius,3
JBMP36-4,Blenniidae,Plagiotremus,rhinorhynchos,1
JBMP36-4,Odacidae,Olisthops,cyanomelas,2
JBMP36-4,Pomacentridae,Stegastes,obreptus,1
JBMP42-1,Carangidae,Pseudocaranx,georgianus,20
JBMP42-1,Labridae,Thalassoma,lutescens,3
JBMP42-1,Labridae,Pseudolabrus,biserialis,2
JBMP42-1,Labridae,Notolabrus,parilus,4
JBMP42-1,Labridae,Coris,auricularis,121
JBMP42-1,Pomacentridae,Parma,mccullochi,3
JBMP42-1,Labridae,Austrolabrus,maculatus,3
JBMP42-1,Chaetodontidae,Chaetodon,assarius,1
JBMP42-2,Labridae,Pseudolabrus,biserialis,5
JBMP42-2,Labridae,Notolabrus,parilus,5
JBMP42-2,Labridae,Coris,auricularis,163
JBMP42-2,Pomacentridae,Parma,mccullochi,11
JBMP42-2,Labridae,Austrolabrus,maculatus,3
JBMP42-2,Labridae,Choerodon,rubescens,7
JBMP42-2,Scorpididae,Neatypus,obliquus,2
JBMP42-2,Labridae,Ophthalmolepis,lineolatus,1
JBMP42-3,Labridae,Coris,auricularis,115
JBMP42-3,Labridae,Notolabrus,parilus,3
JBMP42-3,Pomacentridae,Parma,mccullochi,2
JBMP42-3,Labridae,Pseudolabrus,biserialis,1
JBMP42-3,Labridae,Choerodon,rubescens,1
JBMP42-4,Labridae,Coris,auricularis,146
JBMP42-4,Labridae,Notolabrus,parilus,4
JBMP42-4,Pomacentridae,Parma,mccullochi,6
JBMP42-4,Labridae,Pseudolabrus,biserialis,1
JBMP42-4,Labridae,Choerodon,rubescens,1
JBMP42-4,Labridae,Austrolabrus,maculatus,1
JBMP5-1,Kyphosidae,Kyphosus,cornelii,20
JBMP5-1,Labridae,Coris,auricularis,67
JBMP5-1,Labridae,Thalassoma,lutescens,4
JBMP5-1,Pomacentridae,Parma,occidentalis,1
JBMP5-1,Haemulidae,Plectorhinchus,flavomaculatus,1
JBMP5-1,Pomacentridae,Pomacentrus,milleri,1
JBMP5-1,Pomacentridae,Parma,mccullochi,1
JBMP5-2,Kyphosidae,Kyphosus,cornelii,4
JBMP5-2,Labridae,Coris,auricularis,13
JBMP5-2,Labridae,Thalassoma,lutescens,3
JBMP5-2,Kyphosidae,Kyphosus,sydneyanus,8
JBMP5-2,Odacidae,Olisthops,cyanomelas,1
JBMP5-2,Pomacentridae,Pomacentrus,milleri,4
JBMP5-2,Labridae,Notolabrus,parilus,1
JBMP5-2,Blenniidae,Plagiotremus,rhinorhynchos,1
JBMP5-3,Pomacentridae,Pomacentrus,milleri,17
JBMP5-3,Labridae,Thalassoma,lutescens,3
JBMP5-3,Labridae,Coris,auricularis,38
JBMP5-3,Labridae,Anampses,geographicus,1
JBMP5-3,Scaridae,Scarus,ghobban,1
JBMP5-3,Kyphosidae,Kyphosus,cornelii,8
JBMP5-3,Nemipteridae,Pentapodus,vitta,1
JBMP5-3,Pomacentridae,Stegastes,obreptus,1
JBMP5-4,Pomacentridae,Pomacentrus,milleri,13
JBMP5-4,Labridae,Thalassoma,lutescens,2
JBMP5-4,Labridae,Coris,auricularis,30
JBMP5-4,Labridae,Notolabrus,parilus,2
JBMP5-4,Pempherididae,Pempheris,klunzingeri,1
JBMP5-4,Scorpididae,Scorpis,georgiana,1
JBMP5-4,Pomacentridae,Parma,mccullochi,1
JBMP5-4,Chaetodontidae,Chaetodon,assarius,1
JBMP5-4,Pomacentridae,Parma,victoriae,1
JBMP33-1,Labridae,Coris,auricularis,21
JBMP33-1,Labridae,Choerodon,rubescens,4
JBMP33-1,Labridae,Ophthalmolepis,lineolatus,4
JBMP33-1,Monodactylidae,Schuettea,woodwardi,100
JBMP33-1,Kyphosidae,Kyphosus,cornelii,60
JBMP33-1,Odacidae,Olisthops,cyanomelas,6
JBMP33-1,Labridae,Pictilabrus,viridis,1
JBMP33-1,Labridae,Notolabrus,parilus,3
JBMP33-1,Pempherididae,Pempheris,klunzingeri,100
JBMP33-2,Labridae,Coris,auricularis,12
JBMP33-2,Labridae,Choerodon,rubescens,1
JBMP33-2,Kyphosidae,Kyphosus,cornelii,250
JBMP33-3,Labridae,Pictilabrus,viridis,1
JBMP33-3,Labridae,Coris,auricularis,118
JBMP33-3,Kyphosidae,Kyphosus,cornelii,350
JBMP33-3,Pomacentridae,Parma,mccullochi,1
JBMP33-3,Serranidae,Caesioscorpis,theagenes,150
JBMP33-4,Labridae,Coris,auricularis,18
JBMP33-4,Odacidae,Olisthops,cyanomelas,1
JBMP33-4,Labridae,Ophthalmolepis,lineolatus,1
JBMP33-4,Haemulidae,Plectorhinchus,flavomaculatus,1
JBMP33-4,Labridae,Notolabrus,parilus,1
JBMP33-4,Monodactylidae,Schuettea,woodwardi,25
JBMP33-4,Labridae,Pseudolabrus,biserialis,1
JBMP44-1,Pomacentridae,Pomacentrus,milleri,1
JBMP44-1,Labridae,Notolabrus,parilus,3
