"Sample","Latitude","Longitude","Date","Location","DBCA_Zone","Site","Depth","Observer","DBCA_Sanctuary","Year","Time","Status","Successful.count","Successful.length"
"JBMP30-1",-30.64620018,115.1239014,"20061018","Jurien Bay","General Use","30","2","Arianna Polacheck","Cavanagh Reef",2006,"11:00:00","Fished","Yes","Yes"
"JBMP30-2",-30.64620018,115.1239014,"20061018","Jurien Bay","General Use","30","2","Arianna Polacheck","Cavanagh Reef",2006,"11:00:00","Fished","Yes","Yes"
"JBMP30-3",-30.64620018,115.1239014,"20061018","Jurien Bay","General Use","30","2","Dave Lenel","Cavanagh Reef",2006,"11:00:00","Fished","Yes","Yes"
"JBMP30-4",-30.64620018,115.1239014,"20061018","Jurien Bay","General Use","30","2","Dave Lenel","Cavanagh Reef",2006,"11:00:00","Fished","Yes","Yes"
"JBMP31-1",-30.16916657,114.9421692,"20061026","Jurien Bay","General Use","31","10","Kev Crane","Fisherman Islands",2006,"11:00:00","Fished","Yes","Yes"
"JBMP31-2",-30.16916657,114.9421692,"20061026","Jurien Bay","General Use","31","10","Kev Crane","Fisherman Islands",2006,"11:00:00","Fished","Yes","Yes"
"JBMP31-3",-30.16916657,114.9421692,"20061026","Jurien Bay","General Use","31","10","Dave Lenel","Fisherman Islands",2006,"11:00:00","Fished","Yes","Yes"
"JBMP31-4",-30.16916657,114.9421692,"20061026","Jurien Bay","General Use","31","10","Dave Lenel","Fisherman Islands",2006,"11:00:00","Fished","Yes","Yes"
"JBMP32-1",-30.41333389,114.9816666,"20061024","Jurien Bay","SP Scientific Reference","32","10","Neville Barrett","Hill River",2006,"11:00:00","No-take","Yes","Yes"
"JBMP32-2",-30.41333389,114.9816666,"20061024","Jurien Bay","SP Scientific Reference","32","10","Arianna Polacheck","Hill River",2006,"11:00:00","No-take","Yes","Yes"
"JBMP32-3",-30.41333389,114.9816666,"20061024","Jurien Bay","SP Scientific Reference","32","10","Dave Lenel","Hill River",2006,"11:00:00","No-take","Yes","Yes"
"JBMP32-4",-30.41333389,114.9816666,"20061024","Jurien Bay","SP Scientific Reference","32","10","Graham Edgar","Hill River",2006,"11:00:00","No-take","Yes","Yes"
"JBMP33-1",-30.44763374,114.991333,"20061024","Jurien Bay","SP Scientific Reference","33","10","Neville Barrett","Hill River",2006,"11:00:00","No-take","Yes","Yes"
"JBMP33-2",-30.44763374,114.991333,"20061024","Jurien Bay","SP Scientific Reference","33","10","Arianna Polacheck","Hill River",2006,"11:00:00","No-take","Yes","Yes"
"JBMP33-3",-30.44763374,114.991333,"20061024","Jurien Bay","SP Scientific Reference","33","10","Dave Lenel","Hill River",2006,"11:00:00","No-take","Yes","Yes"
"JBMP33-4",-30.44763374,114.991333,"20061024","Jurien Bay","SP Scientific Reference","33","10","Graham Edgar","Hill River",2006,"11:00:00","No-take","Yes","Yes"
"JBMP34-1",-30.51449966,115.0136642,"20061026","Jurien Bay","General Use","34","10","Neville Barrett","Hill River",2006,"11:00:00","Fished","Yes","Yes"
"JBMP34-2",-30.51449966,115.0136642,"20061026","Jurien Bay","General Use","34","10","Arianna Polacheck","Hill River",2006,"11:00:00","Fished","Yes","Yes"
"JBMP34-3",-30.51449966,115.0136642,"20061026","Jurien Bay","General Use","34","10","Arianna Polacheck","Hill River",2006,"11:00:00","Fished","Yes","Yes"
"JBMP34-4",-30.51449966,115.0136642,"20061026","Jurien Bay","General Use","34","10","Arianna Polacheck","Hill River",2006,"11:00:00","Fished","Yes","Yes"
"JBMP35-1",-30.34666634,115.0039978,"20061012","Jurien Bay","Sanctuary","35","2","Arianna Polacheck",NA,2006,"11:00:00","No-take","Yes","Yes"
"JBMP35-2",-30.34666634,115.0039978,"20061012","Jurien Bay","Sanctuary","35","2","Arianna Polacheck",NA,2006,"11:00:00","No-take","Yes","Yes"
