OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	X	Y	Z	sX	sY	sZ	RMS	Range	Direction	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
JMP-S41	249	S41_L.MP4	50638	S41_R.MP4	49685	821.35100	5	0.43400	-520.72834	-592.02144	-2240.80801	1.68605	1.84698	6.40705	1.10004	2375.47215	19.63226	Labridae	Coris	auricularis	37384088	1	AD	Passing			
JMP-S41	250	S41_L.MP4	50693	S41_R.MP4	49740	821.36933	5	0.45233	1948.44011	877.87661	-5402.94925	11.93141	5.99991	33.79420	2.80059	5810.24499	21.44795	Labridae	Coris	auricularis	37384088	1	AD	Passing			
JMP-S41	255	S41_L.MP4	51197	S41_R.MP4	50244	821.53733	5	0.62033	-810.52252	-297.01056	-1992.25401	1.92017	0.98892	4.49804	3.46536	2171.22962	23.54145	Pomacentridae	Parma	mccullochi	37372093	1	AD	Passing			
JMP-S41	258	S41_L.MP4	51902	S41_R.MP4	50949	821.77233	5	0.85533	-1691.10252	-294.22830	-4598.32224	8.99365	2.28972	24.93014	1.79460	4908.25483	20.52875	Labridae	Coris	auricularis	37384088	1	AD	Passing			
JMP-S41	264	S41_L.MP4	52252	S41_R.MP4	51299	821.88900	5	0.97200	-873.52906	-685.65620	-2915.11151	3.18829	2.60228	10.39434	1.77277	3119.46350	21.05791	Labridae	Coris	auricularis	37384088	1	AD	Passing			
JMP-S41	267	S41_L.MP4	52325	S41_R.MP4	51372	821.91333	5	0.99633	1366.40215	-564.13751	-3249.46526	4.78680	2.26143	11.60240	0.84431	3569.92023	24.58912	Labridae	Coris	auricularis	37384088	1	AD	Passing			
JMP-S41	268	S41_L.MP4	52325	S41_R.MP4	51372	821.91333	5	0.99633	1312.97961	-408.35009	-2726.11355	3.62254	1.46694	7.65831	0.74135	3053.25406	26.86486	Labridae	Coris	auricularis	37384088	1	AD	Passing			
JMP-S41	269	S41_L.MP4	52345	S41_R.MP4	51392	821.92000	5	1.00300	1418.98547	190.66046	-2972.32783	4.30939	1.27194	9.21154	1.27892	3299.18231	25.67784	Pomacentridae	Parma	mccullochi	37372093	1	AD	Passing			
JMP-S41	270	S41_L.MP4	52413	S41_R.MP4	51460	821.94267	5	1.02567	-342.64276	-414.83328	-1715.57620	1.02225	1.12247	3.85048	2.23983	1797.96897	17.66668	Labridae	Notolabrus	parilus	37384022	1	AD	Passing			
JMP-S41	271	S41_L.MP4	52482	S41_R.MP4	51529	821.96567	5	1.04867	-904.95984	-204.71344	-2906.67619	3.33214	1.33023	10.49104	11.18334	3051.16803	17.77849	Labridae	Notolabrus	parilus	37384022	1	AD	Passing			
