OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
JMP-S1	43	1	937.25035	810.50554	903.80636	808.70480
JMP-S1	44	0	481.80498	902.32472	322.80636	881.70480
JMP-S1	44	1	566.56293	826.16236	432.57123	811.29889
JMP-S1	45	0	887.51037	788.20295	823.24066	785.32841
JMP-S1	45	1	944.82711	774.91882	894.94191	774.70111
JMP-S1	46	0	1332.51037	628.32841	1352.65975	643.97786
JMP-S1	46	1	1427.22683	604.85978	1464.63762	620.73063
JMP-S1	47	0	1387.55187	692.10332	1410.12448	705.38745
JMP-S1	48	0	1495.10373	633.65314	1561.49378	650.92251
JMP-S1	49	0	1082.15768	761.18081	970.62241	759.85240
JMP-S1	50	0	1426.05809	742.58303	1538.92116	767.82288
JMP-S1	51	0	1804.48133	523.39483	1882.82158	538.00738
JMP-S1	52	0	951.65007	1030.69373	695.25588	1025.23616
JMP-S1	52	1	1271.02351	976.60148	1023.86169	985.74908
JMP-S1	53	0	999.02075	732.19188	956.01660	730.62731
JMP-S1	53	1	804.49793	693.88930	753.55740	687.94465
JMP-S1	54	0	1477.73444	982.97048	1324.01936	1007.15867
JMP-S1	54	1	1290.73582	949.31734	1155.60996	965.97786
JMP-S1	55	0	1561.60028	773.84502	1280.04288	792.69373
JMP-S1	55	1	1323.03873	774.95203	1062.72614	783.83764
JMP-S1	56	0	1703.13555	650.13284	1759.33610	672.17712
JMP-S1	56	1	1530.95436	662.87823	1569.46058	685.46125
JMP-S1	57	0	651.53112	751.45387	461.53250	737.95572
JMP-S1	57	1	919.08299	665.10701	769.58230	659.35793
JMP-S1	58	0	669.21162	587.15867	600.16598	575.20295
JMP-S1	59	0	628.04979	584.50185	533.40111	572.74539
JMP-S1	59	1	881.65560	565.54613	775.50346	565.43911
JMP-S1	60	0	1582.73859	976.38376	1491.12033	1012.25092
JMP-S1	61	0	1115.35270	1045.46125	805.97510	1048.11808
JMP-S1	61	1	1376.20194	1039.48339	1095.99170	1061.62362
JMP-S1	62	0	1174.93638	661.83395	1162.66667	669.84133
JMP-S1	62	1	1223.62241	616.88930	1223.74550	622.68266
JMP-S1	63	0	1765.65422	710.58672	1609.08714	739.75646
JMP-S1	63	1	1679.12586	689.55351	1527.86999	714.95941
JMP-S1	64	0	1763.69156	612.36531	1596.21992	639.62362
JMP-S1	64	1	1690.21992	611.70111	1509.69156	635.19557
JMP-S1	65	0	1493.77593	576.53137	1597.34440	593.80074
JMP-S1	66	0	1372.76349	632.64207	1366.86307	645.60148
JMP-S1	66	1	1465.26694	617.58672	1452.06362	628.77491
JMP-S1	67	0	967.20470	587.56089	929.46058	585.83026
JMP-S1	68	0	1702.13693	793.99262	1565.93361	828.27306
JMP-S1	68	1	1629.99308	777.60886	1508.61687	809.45387
JMP-S1	69	0	1764.29461	780.04428	1797.12863	821.17712
JMP-S1	70	0	1898.09129	938.38745	1550.94744	961.16974
JMP-S1	70	1	1708.87967	839.86347	1407.10235	861.53875
JMP-S1	71	0	1652.67773	840.69004	1589.37759	879.40959
JMP-S1	71	1	1564.14938	875.42435	1469.87552	909.96310
JMP-S1	72	0	1862.90456	803.69004	1821.74274	839.55720
JMP-S10	0	0	1052.29156	325.03409	1055.72634	326.07955
JMP-S10	0	1	1087.27877	306.62500	1092.04348	307.15909
JMP-S10	1	0	1056.98210	528.95455	1096.26598	528.95455
JMP-S10	2	0	1356.52174	949.90909	1182.19949	965.86364
JMP-S10	2	1	1297.59591	883.63636	1129.41176	895.90909
JMP-S10	3	0	1496.47059	827.18182	1334.42455	849.27273
JMP-S10	3	1	1436.31714	805.09091	1279.18159	817.36364
JMP-S10	4	0	1098.72123	924.13636	831.09974	927.81818
JMP-S10	4	1	1227.62148	889.77273	936.67519	895.90909
JMP-S10	5	0	111.71355	721.63636	8.59335	687.27273
JMP-S10	6	0	272.53197	754.77273	369.51407	724.09091
JMP-S10	7	0	1494.01535	884.86364	1505.06394	918.00000
JMP-S10	8	0	922.21228	1011.27273	800.01535	1004.17045
JMP-S10	8	1	894.79540	973.12500	773.00767	956.30682
JMP-S10	9	0	1041.02302	1048.09091	1104.85934	1057.90909
JMP-S10	10	0	1209.20716	218.45455	1334.23529	212.12500
JMP-S10	11	0	135.65217	828.26136	51.25320	794.97727
JMP-S10	11	1	187.82609	799.72727	105.88235	767.36364
JMP-S10	12	0	168.18414	798.80682	81.02302	766.75000
JMP-S10	12	1	238.15857	774.56818	158.67008	746.50000
JMP-S10	13	0	135.65217	925.52273	3.06905	887.61364
JMP-S10	13	1	206.54731	909.87500	67.21228	879.02273
JMP-S10	14	0	584.71611	1022.31818	465.49616	998.69318
JMP-S10	14	1	628.60358	1019.86364	511.53197	996.23864
JMP-S10	15	0	118.80563	612.60227	94.13299	590.25000
JMP-S10	16	0	189.97442	771.19318	133.81074	741.28409
JMP-S10	17	0	105.57545	755.54545	65.67775	723.18182
JMP-S10	18	0	54.93606	825.19318	28.23529	783.93182
JMP-S10	19	0	251.35550	723.02273	227.10997	697.40909
JMP-S10	20	0	345.88235	721.48864	340.66496	698.02273
JMP-S10	21	0	359.38619	826.42045	328.69565	797.73864
JMP-S10	22	0	1166.45269	1042.56818	1088.14322	1057.90909
JMP-S10	22	1	1200.51918	1014.64773	1119.75448	1029.98864
JMP-S10	23	0	368.91304	957.57955	171.86701	929.30682
JMP-S10	23	1	402.05882	906.03409	227.10997	880.82955
JMP-S10	24	0	685.00256	917.40909	619.35806	900.09091
JMP-S10	24	1	638.96675	920.78409	580.38107	903.15909
JMP-S10	25	0	1818.10742	762.13636	1798.46547	798.95455
JMP-S10	26	0	1129.41176	662.72727	1206.75192	670.09091
JMP-S10	27	0	1161.24808	557.70455	1159.46292	562.10227
JMP-S10	28	0	1277.25831	534.69318	1274.55243	539.70455
JMP-S10	29	0	531.18159	769.30682	201.41176	758.15909
JMP-S10	29	1	602.69054	692.60227	277.52430	683.60227
JMP-S10	30	0	409.04092	667.45455	123.68286	650.70455
JMP-S10	30	1	483.92583	630.32955	204.09207	619.71591
JMP-S10	31	0	1837.74936	411.13636	1848.79795	423.40909
JMP-S10	31	1	1773.91304	299.45455	1781.27877	304.36364
JMP-S10	32	0	1706.39386	674.81818	1447.25831	693.38636
JMP-S10	32	1	1638.26087	634.93182	1399.68798	648.28409
JMP-S10	33	0	1545.91304	865.87500	1170.38619	880.31818
JMP-S10	33	1	1479.00767	814.94318	1134.47826	832.14773
JMP-S10	34	0	45.42199	209.86364	193.96419	225.81818
JMP-S10	35	0	1276.72634	976.90909	1120.81841	986.72727
JMP-S10	36	0	217.27110	95.42045	76.41944	103.39773
JMP-S10	36	1	266.06905	57.37500	138.72123	69.03409
JMP-S10	37	0	419.84655	34.36364	322.86445	51.54545
JMP-S10	38	0	843.37596	346.09091	33.14578	330.13636
JMP-S10	38	1	951.40665	316.63636	186.59847	304.36364
JMP-S10	39	0	154.68031	244.22727	6.13811	245.45455
JMP-S10	40	0	877.74936	866.45455	866.70077	860.31818
JMP-S10	41	0	823.73402	614.86364	84.70588	607.50000
JMP-S10	41	1	928.08184	627.13636	168.18414	625.90909
JMP-S10	42	0	497.18670	425.86364	292.17391	418.50000
JMP-S10	42	1	553.65729	423.40909	370.74169	417.27273
JMP-S10	43	0	661.68798	845.59091	46.64962	849.27273
JMP-S10	43	1	745.16624	796.50000	165.72890	803.86364
JMP-S10	44	0	1150.28133	688.50000	975.95908	690.95455
JMP-S10	44	1	1045.93350	629.59091	881.43223	634.50000
JMP-S10	45	0	793.04348	525.27273	499.64194	522.81818
JMP-S10	46	0	398.97698	308.04545	408.79795	309.27273
JMP-S10	47	0	564.70588	365.72727	495.95908	363.27273
JMP-S10	48	0	773.40153	352.22727	818.82353	353.45455
JMP-S10	49	0	1243.58056	347.31818	1114.68031	348.54545
JMP-S10	49	1	1387.21228	401.31818	1252.17391	407.45455
JMP-S10	50	0	1109.76982	254.04545	1263.22251	247.90909
JMP-S10	51	0	121.53453	428.31818	23.32481	420.95455
JMP-S10	52	0	19.64194	412.36364	11.04859	409.90909
JMP-S10	53	0	1683.06905	614.86364	1362.65985	627.13636
JMP-S10	54	0	478.77238	921.68182	31.91816	922.90909
JMP-S10	55	0	1475.60102	409.90909	1437.54476	416.04545
JMP-S10	55	1	1633.96419	416.04545	1589.76982	422.18182
JMP-S10	56	0	1764.39898	481.45455	1499.16113	498.55682
JMP-S10	56	1	1826.08696	490.35227	1559.92839	508.06818
JMP-S10	57	0	1838.97698	417.27273	1868.43990	428.31818
JMP-S10	58	0	1826.70077	465.13636	1586.08696	483.54545
JMP-S10	58	1	1781.27877	433.22727	1546.80307	447.95455
JMP-S10	59	0	1821.79028	510.54545	1560.30691	526.50000
JMP-S10	59	1	1769.00256	476.18182	1506.29156	489.68182
JMP-S10	60	0	790.58824	677.45455	457.90281	675.00000
JMP-S10	60	1	725.52430	711.81818	397.74936	705.68182
JMP-S10	61	0	525.42199	720.40909	50.33248	715.50000
JMP-S10	62	0	972.27621	1055.45455	743.93862	1051.77273
JMP-S10	63	0	1654.83376	813.68182	1328.28645	822.27273
JMP-S10	63	1	1592.22506	803.86364	1265.67775	814.90909
JMP-S10	64	0	1765.31969	814.90909	1433.86189	837.00000
JMP-S10	65	0	588.03069	562.09091	616.26598	562.09091
JMP-S10	65	1	678.87468	581.72727	693.60614	575.59091
JMP-S10	66	0	743.93862	533.86364	790.58824	528.95455
JMP-S10	66	1	806.54731	542.45455	838.46547	538.77273
JMP-S10	67	0	1505.84655	856.63636	1318.31458	876.92045
JMP-S10	67	1	1454.28645	851.42045	1264.91304	867.10227
JMP-S10	68	0	455.44757	1008.81818	298.31202	980.59091
JMP-S10	68	1	410.02558	1040.72727	233.24808	1012.50000
