"Sample","Family","Genus","Species","Count"
"JBMP10-2","Scorpididae","Scorpis","georgiana",1
"JBMP10-2","Labridae","Thalassoma","lutescens",4
"JBMP10-3","Kyphosidae","Kyphosus","sydneyanus",1
"JBMP10-3","Odacidae","Olisthops","cyanomelas",1
"JBMP10-3","Labridae","Ophthalmolepis","lineolatus",1
"JBMP10-3","Labridae","Austrolabrus","maculatus",1
"JBMP10-3","Pomacentridae","Parma","mccullochi",1
"JBMP10-3","Labridae","Coris","auricularis",21
"JBMP10-3","Labridae","Halichoeres","brownfieldi",2
"JBMP10-3","Labridae","Pictilabrus","viridis",1
"JBMP10-3","Labridae","Notolabrus","parilus",1
"JBMP10-3","Labridae","Thalassoma","lutescens",1
"JBMP10-3","Labridae","Pictilabrus","laticlavius",2
"JBMP10-3","Odacidae","Olisthops","cyanomelas",1
"JBMP10-3","Labridae","Ophthalmolepis","lineolatus",2
"JBMP10-3","Mullidae","Parupeneus","spilurus",1
"JBMP10-3","Labridae","Austrolabrus","maculatus",1
"JBMP10-3","Labridae","Coris","auricularis",11
"JBMP10-3","Labridae","Coris","auricularis",1
"JBMP10-3","Labridae","Halichoeres","brownfieldi",4
"JBMP10-3","Labridae","Notolabrus","parilus",1
"JBMP10-3","Labridae","Thalassoma","lunare",1
"JBMP10-3","Labridae","Pictilabrus","laticlavius",3
"JBMP10-3","Pomacentridae","Parma","mccullochi",4
"JBMP10-3","Labridae","Coris","auricularis",3
"JBMP10-3","Labridae","Pseudolabrus","biserialis",1
"JBMP10-3","Labridae","Notolabrus","parilus",2
"JBMP10-3","Labridae","Thalassoma","lunare",1
"JBMP10-3","Odacidae","Olisthops","cyanomelas",1
"JBMP10-3","Labridae","Ophthalmolepis","lineolatus",7
"JBMP10-3","Labridae","Ophthalmolepis","lineolatus",1
"JBMP10-3","Pomacentridae","Parma","mccullochi",3
"JBMP10-3","Labridae","Coris","auricularis",3
"JBMP10-3","Serranidae","Epinephelides","armatus",1
"JBMP10-3","Labridae","Notolabrus","parilus",2
"JBMP10-3","Labridae","Notolabrus","parilus",5
"JBMP10-3","Labridae","Thalassoma","lutescens",3
"JBMP10-4","Monacanthidae","Meuschenia","hippocrepis",1
"JBMP10-4","Labridae","Coris","auricularis",35
"JBMP10-4","Labridae","Halichoeres","brownfieldi",1
"JBMP10-4","Labridae","Notolabrus","parilus",3
"JBMP10-4","Kyphosidae","Kyphosus","cornelii",3
"JBMP10-4","Labridae","Thalassoma","lunare",1
"JBMP10-4","Kyphosidae","Kyphosus","sydneyanus",6
"JBMP10-4","Odacidae","Olisthops","cyanomelas",1
"JBMP10-4","Labridae","Ophthalmolepis","lineolatus",4
"JBMP10-4","Labridae","Ophthalmolepis","lineolatus",4
"JBMP10-4","Labridae","Austrolabrus","maculatus",1
"JBMP10-4","Pomacentridae","Parma","mccullochi",1
"JBMP10-4","Labridae","Coris","auricularis",2
"JBMP10-4","Kyphosidae","Kyphosus","cornelii",3
"JBMP10-4","Kyphosidae","Kyphosus","cornelii",2
"JBMP10-4","Labridae","Thalassoma","lutescens",1
"JBMP10-4","Labridae","Pictilabrus","laticlavius",2
"JBMP10-4","Labridae","Pictilabrus","laticlavius",1
"JBMP10-4","Pomacentridae","Parma","mccullochi",9
"JBMP10-4","Labridae","Coris","auricularis",1
"JBMP10-4","Labridae","Coris","auricularis",5
"JBMP10-4","Labridae","Halichoeres","brownfieldi",1
"JBMP10-4","Labridae","Pseudolabrus","biserialis",2
"JBMP10-4","Labridae","Notolabrus","parilus",3
"JBMP10-4","Labridae","Notolabrus","parilus",1
"JBMP10-4","Labridae","Ophthalmolepis","lineolatus",2
"JBMP10-4","Pomacentridae","Parma","mccullochi",1
"JBMP10-4","Pomacentridae","Parma","mccullochi",4
"JBMP10-4","Labridae","Coris","auricularis",4
"JBMP10-4","Labridae","Halichoeres","brownfieldi",2
"JBMP10-4","Labridae","Notolabrus","parilus",1
"JBMP10-4","Scorpididae","Scorpis","georgiana",1
"JBMP10-4","Labridae","Thalassoma","lutescens",4
"JBMP11-1","Pempherididae","Pempheris","klunzingeri",1
"JBMP11-1","Pomacentridae","Parma","mccullochi",5
"JBMP11-1","Labridae","Coris","auricularis",5
"JBMP11-1","Labridae","Coris","auricularis",1
"JBMP11-1","Labridae","Halichoeres","brownfieldi",5
"JBMP11-1","Scorpididae","Scorpis","georgiana",4
"JBMP11-1","Labridae","Thalassoma","lutescens",1
"JBMP11-1","Pomacentridae","Parma","mccullochi",2
"JBMP11-1","Labridae","Coris","auricularis",1
"JBMP11-1","Scorpididae","Scorpis","georgiana",1
"JBMP11-1","Pomacentridae","Parma","occidentalis",1
"JBMP11-1","Kyphosidae","Kyphosus","cornelii",20
"JBMP11-1","Kyphosidae","Kyphosus","cornelii",46
"JBMP11-2","Labridae","Coris","auricularis",2
"JBMP11-2","Chaetodontidae","Chelmonops","curiosus",1
"JBMP11-2","Pempherididae","Pempheris","klunzingeri",1
"JBMP11-2","Pomacentridae","Parma","mccullochi",2
"JBMP11-2","Pomacentridae","Parma","mccullochi",8
"JBMP11-2","Labridae","Halichoeres","brownfieldi",3
"JBMP11-2","Labridae","Pictilabrus","viridis",1
"JBMP11-2","Labridae","Notolabrus","parilus",4
"JBMP11-2","Labridae","Notolabrus","parilus",6
"JBMP11-2","Scorpididae","Scorpis","georgiana",2
"JBMP11-2","Scorpididae","Scorpis","georgiana",1
"JBMP11-2","Labridae","Thalassoma","lutescens",1
"JBMP11-2","Pomacentridae","Pomacentrus","milleri",1
"JBMP11-2","Odacidae","Olisthops","cyanomelas",1
"JBMP11-2","Pomacentridae","Parma","mccullochi",2
"JBMP11-2","Pomacentridae","Parma","mccullochi",1
"JBMP11-2","Labridae","Coris","auricularis",10
"JBMP11-2","Labridae","Halichoeres","brownfieldi",4
"JBMP11-2","Labridae","Notolabrus","parilus",1
"JBMP11-2","Labridae","Notolabrus","parilus",1
"JBMP11-2","Pomacentridae","Parma","mccullochi",2
"JBMP11-2","Labridae","Coris","auricularis",2
"JBMP11-2","Labridae","Notolabrus","parilus",1
"JBMP11-2","Kyphosidae","Kyphosus","cornelii",6
"JBMP11-2","Kyphosidae","Kyphosus","cornelii",25
"JBMP11-2","Kyphosidae","Kyphosus","cornelii",80
"JBMP11-2","Pomacentridae","Pomacentrus","milleri",1
"JBMP11-3","Pomacentridae","Parma","mccullochi",4
"JBMP11-3","Pomacentridae","Parma","mccullochi",2
"JBMP11-3","Pomacentridae","Parma","mccullochi",2
"JBMP11-3","Labridae","Coris","auricularis",1
"JBMP11-3","Labridae","Halichoeres","brownfieldi",2
"JBMP11-3","Labridae","Pictilabrus","viridis",1
"JBMP11-3","Labridae","Notolabrus","parilus",4
"JBMP11-3","Kyphosidae","Kyphosus","cornelii",5
"JBMP11-3","Pomacentridae","Parma","mccullochi",1
"JBMP11-3","Labridae","Notolabrus","parilus",1
"JBMP11-3","Pomacentridae","Parma","mccullochi",1
"JBMP11-3","Labridae","Coris","auricularis",16
"JBMP11-3","Labridae","Coris","auricularis",2
"JBMP11-3","Labridae","Halichoeres","brownfieldi",6
"JBMP11-3","Labridae","Notolabrus","parilus",5
"JBMP11-3","Labridae","Ophthalmolepis","lineolatus",2
"JBMP11-3","Labridae","Coris","auricularis",4
"JBMP11-3","Labridae","Notolabrus","parilus",1
