"","Family","Sector","Year","Site","mean"
"228","Other","Eastern Sector",2013,"BUNN",0
"229","Other","Eastern Sector",2013,"BUNN+",0
"230","Other","Eastern Sector",2014,"BUNBR",0.266666666666667
"231","Other","Eastern Sector",2014,"BUNN",0.0666666666666667
"232","Other","Eastern Sector",2014,"BUNN+",0
"233","Other","Eastern Sector",2015,"BUNBR",0
"234","Other","Eastern Sector",2015,"BUNN",0
"235","Other","Eastern Sector",2015,"BUNN+",0
"236","Other","Eastern Sector",2016,"BUNBR",0
"237","Other","Eastern Sector",2016,"BUNN",0
"238","Other","Eastern Sector",2016,"BUNN+",0
"239","Other","Eastern Sector",2017,"BUNBR",0.0666666666666667
"240","Other","Eastern Sector",2017,"BUNN",0
"241","Other","Eastern Sector",2017,"BUNN+",0
"242","Other","Eastern Sector",2018,"BUNBR",0
"243","Other","Eastern Sector",2018,"BUNN",0
"244","Other","Eastern Sector",2018,"BUNN+",0
"245","Other","Eastern Sector",2019,"BUNBR",0
"246","Other","Eastern Sector",2019,"BUNN",0
"247","Other","Eastern Sector",2019,"BUNN+",0
"248","Other","Eastern Sector",2020,"BUNBR",0.0666666666666667
"249","Other","Eastern Sector",2020,"BUNN",0
"250","Other","Eastern Sector",2020,"BUNN+",0
"251","Other","Eastern Sector",2021,"BUNBR",0
"252","Other","Eastern Sector",2021,"BUNN",0
"253","Other","Eastern Sector",2021,"BUNN+",0
"254","Other","Northern Sector",2011,"JUR",0
"255","Other","Northern Sector",2011,"TLC",0
"256","Other","Northern Sector",2011,"TLSZ",1.06666666666667
"257","Other","Northern Sector",2012,"JUR",0.266666666666667
"258","Other","Northern Sector",2012,"TLC",0.818181818181818
"259","Other","Northern Sector",2012,"TLSZ",0.2
"260","Other","Northern Sector",2013,"JUR",0
"261","Other","Northern Sector",2013,"TLC",0.0666666666666667
"262","Other","Northern Sector",2013,"TLSZ",0.307692307692308
"263","Other","Northern Sector",2014,"JUR",0
"264","Other","Northern Sector",2014,"TLC",0.0714285714285714
"265","Other","Northern Sector",2014,"TLSZ",7.53333333333333
"266","Other","Northern Sector",2015,"JUR",0
"267","Other","Northern Sector",2015,"TLC",0
"268","Other","Northern Sector",2015,"TLSZ",0
"269","Other","Northern Sector",2016,"JUR",0.0666666666666667
"270","Other","Northern Sector",2016,"TLC",0
"271","Other","Northern Sector",2016,"TLSZ",0
"272","Other","Northern Sector",2017,"JUR",0.333333333333333
"273","Other","Northern Sector",2017,"TLC",0.0666666666666667
"274","Other","Northern Sector",2017,"TLSZ",0
"275","Other","Northern Sector",2018,"JUR",0
"276","Other","Northern Sector",2018,"TLC",0
"277","Other","Northern Sector",2018,"TLSZ",0
"278","Other","Northern Sector",2019,"JUR",0.4
"279","Other","Northern Sector",2019,"TLC",0.0769230769230769
"280","Other","Northern Sector",2019,"TLSZ",0
"281","Other","Northern Sector",2020,"JUR",0.0666666666666667
"282","Other","Northern Sector",2020,"TLC",0
"283","Other","Northern Sector",2020,"TLSZ",0.133333333333333
"284","Other","Northern Sector",2021,"JUR",0
"285","Other","Northern Sector",2021,"TLC",0.25
"286","Other","Northern Sector",2021,"TLSZ",0.333333333333333
"287","Other","Southern Sector",2011,"CBBR",2.06666666666667
"288","Other","Southern Sector",2011,"CBIL",5.33333333333333
"289","Other","Southern Sector",2011,"CBLN",1.33333333333333
"290","Other","Southern Sector",2011,"CBOB",4.66666666666667
"291","Other","Southern Sector",2011,"CBSL",0.533333333333333
"292","Other","Southern Sector",2012,"CBBR",0.466666666666667
"293","Other","Southern Sector",2012,"CBIL",6.93333333333333
"294","Other","Southern Sector",2012,"CBLN",8.33333333333333
"295","Other","Southern Sector",2012,"CBOB",0.6
"296","Other","Southern Sector",2013,"CBBR",0.2
"297","Other","Southern Sector",2013,"CBIL",8.93333333333333
"298","Other","Southern Sector",2013,"CBOB",0.133333333333333
"299","Other","Southern Sector",2014,"CBBR",0.8
"300","Other","Southern Sector",2014,"CBIL",16.8666666666667
"301","Other","Southern Sector",2014,"CBLN",3.53333333333333
"302","Other","Southern Sector",2014,"CBOB",2.6
"303","Other","Southern Sector",2015,"CBBR",0
"304","Other","Southern Sector",2015,"CBIL",0
"305","Other","Southern Sector",2015,"CBLN",0
"306","Other","Southern Sector",2015,"CBOB",0
"307","Other","Southern Sector",2016,"CBBR",0
"308","Other","Southern Sector",2016,"CBIL",0
"309","Other","Southern Sector",2016,"CBLN",0
"310","Other","Southern Sector",2016,"CBOB",0
"311","Other","Southern Sector",2017,"CBBR",0
"312","Other","Southern Sector",2017,"CBIL",0
"313","Other","Southern Sector",2017,"CBLN",0.0666666666666667
"314","Other","Southern Sector",2017,"CBOB",0
"315","Other","Southern Sector",2018,"CBBR",0
"316","Other","Southern Sector",2018,"CBIL",0
"317","Other","Southern Sector",2018,"CBLN",0
"318","Other","Southern Sector",2018,"CBOB",0
"319","Other","Southern Sector",2019,"CBBR",0
"320","Other","Southern Sector",2019,"CBIL",0
"321","Other","Southern Sector",2019,"CBLN",0.0666666666666667
"322","Other","Southern Sector",2019,"CBOB",0.0666666666666667
"323","Other","Southern Sector",2020,"CBBR",0
"324","Other","Southern Sector",2020,"CBIL",0
"325","Other","Southern Sector",2020,"CBLN",0.142857142857143
"326","Other","Southern Sector",2020,"CBOB",0.0666666666666667
"327","Other","Southern Sector",2021,"CBBR",0
"328","Other","Southern Sector",2021,"CBIL",0.4
"329","Other","Southern Sector",2021,"CBLN",0.0666666666666667
"330","Other","Southern Sector",2021,"CBOB",0
"331","Pocilloporidae","Eastern Sector",2011,"BUNBR",0
"332","Pocilloporidae","Eastern Sector",2011,"BUNN",0
"333","Pocilloporidae","Eastern Sector",2011,"BUNN+",0
"334","Pocilloporidae","Eastern Sector",2012,"BUNBR",0
"335","Pocilloporidae","Eastern Sector",2012,"BUNN",0
"336","Pocilloporidae","Eastern Sector",2012,"BUNN+",0
"337","Pocilloporidae","Eastern Sector",2013,"BUNBR",0
"338","Pocilloporidae","Eastern Sector",2013,"BUNN",0
"339","Pocilloporidae","Eastern Sector",2013,"BUNN+",0
"340","Pocilloporidae","Eastern Sector",2014,"BUNBR",0.133333333333333
"341","Pocilloporidae","Eastern Sector",2014,"BUNN",0
"342","Pocilloporidae","Eastern Sector",2014,"BUNN+",0
"343","Pocilloporidae","Eastern Sector",2015,"BUNBR",0.466666666666667
"344","Pocilloporidae","Eastern Sector",2015,"BUNN",0.142857142857143
"345","Pocilloporidae","Eastern Sector",2015,"BUNN+",0.0769230769230769
"346","Pocilloporidae","Eastern Sector",2016,"BUNBR",1.26666666666667
"347","Pocilloporidae","Eastern Sector",2016,"BUNN",0
"348","Pocilloporidae","Eastern Sector",2016,"BUNN+",0
"349","Pocilloporidae","Eastern Sector",2017,"BUNBR",1.6
"350","Pocilloporidae","Eastern Sector",2017,"BUNN",0
"351","Pocilloporidae","Eastern Sector",2017,"BUNN+",0
"352","Pocilloporidae","Eastern Sector",2018,"BUNBR",2
"353","Pocilloporidae","Eastern Sector",2018,"BUNN",0
"354","Pocilloporidae","Eastern Sector",2018,"BUNN+",0.0666666666666667
"355","Pocilloporidae","Eastern Sector",2019,"BUNBR",2.93333333333333
"356","Pocilloporidae","Eastern Sector",2019,"BUNN",0
"357","Pocilloporidae","Eastern Sector",2019,"BUNN+",0
"358","Pocilloporidae","Eastern Sector",2020,"BUNBR",4.6
"359","Pocilloporidae","Eastern Sector",2020,"BUNN",0
"360","Pocilloporidae","Eastern Sector",2020,"BUNN+",0
"361","Pocilloporidae","Eastern Sector",2021,"BUNBR",2.28571428571429
"362","Pocilloporidae","Eastern Sector",2021,"BUNN",0
"363","Pocilloporidae","Eastern Sector",2021,"BUNN+",0
"364","Pocilloporidae","Northern Sector",2011,"JUR",0.142857142857143
"365","Pocilloporidae","Northern Sector",2011,"TLC",0.714285714285714
"366","Pocilloporidae","Northern Sector",2011,"TLSZ",0.8
"367","Pocilloporidae","Northern Sector",2012,"JUR",0.0666666666666667
"368","Pocilloporidae","Northern Sector",2012,"TLC",0
"369","Pocilloporidae","Northern Sector",2012,"TLSZ",1.26666666666667
"370","Pocilloporidae","Northern Sector",2013,"JUR",0.0666666666666667
"371","Pocilloporidae","Northern Sector",2013,"TLC",0.266666666666667
"372","Pocilloporidae","Northern Sector",2013,"TLSZ",0.615384615384615
"373","Pocilloporidae","Northern Sector",2014,"JUR",0.133333333333333
"374","Pocilloporidae","Northern Sector",2014,"TLC",0.571428571428571
"375","Pocilloporidae","Northern Sector",2014,"TLSZ",0.533333333333333
"376","Pocilloporidae","Northern Sector",2015,"JUR",0
"377","Pocilloporidae","Northern Sector",2015,"TLC",0.214285714285714
"378","Pocilloporidae","Northern Sector",2015,"TLSZ",0.285714285714286
"379","Pocilloporidae","Northern Sector",2016,"JUR",0.266666666666667
"380","Pocilloporidae","Northern Sector",2016,"TLC",0.8
"381","Pocilloporidae","Northern Sector",2016,"TLSZ",1.53333333333333
"382","Pocilloporidae","Northern Sector",2017,"JUR",0.333333333333333
"383","Pocilloporidae","Northern Sector",2017,"TLC",0.8
"384","Pocilloporidae","Northern Sector",2017,"TLSZ",2.6
"385","Pocilloporidae","Northern Sector",2018,"JUR",0.266666666666667
"386","Pocilloporidae","Northern Sector",2018,"TLC",0.933333333333333
"387","Pocilloporidae","Northern Sector",2018,"TLSZ",6.4
"388","Pocilloporidae","Northern Sector",2019,"JUR",1.53333333333333
"389","Pocilloporidae","Northern Sector",2019,"TLC",0.538461538461538
"390","Pocilloporidae","Northern Sector",2019,"TLSZ",4.06666666666667
"391","Pocilloporidae","Northern Sector",2020,"JUR",1.06666666666667
"392","Pocilloporidae","Northern Sector",2020,"TLC",0.4
"393","Pocilloporidae","Northern Sector",2020,"TLSZ",4.73333333333333
"394","Pocilloporidae","Northern Sector",2021,"JUR",0.769230769230769
"395","Pocilloporidae","Northern Sector",2021,"TLC",1.08333333333333
"396","Pocilloporidae","Northern Sector",2021,"TLSZ",7.13333333333333
"397","Pocilloporidae","Southern Sector",2011,"CBBR",0.133333333333333
"398","Pocilloporidae","Southern Sector",2011,"CBIL",0.133333333333333
"399","Pocilloporidae","Southern Sector",2011,"CBLN",0.266666666666667
"400","Pocilloporidae","Southern Sector",2011,"CBOB",0.0666666666666667
"401","Pocilloporidae","Southern Sector",2011,"CBSL",0.0666666666666667
"402","Pocilloporidae","Southern Sector",2012,"CBBR",0.2
"403","Pocilloporidae","Southern Sector",2012,"CBIL",0
"404","Pocilloporidae","Southern Sector",2012,"CBLN",0.466666666666667
"405","Pocilloporidae","Southern Sector",2012,"CBOB",0
"406","Pocilloporidae","Southern Sector",2013,"CBBR",0.333333333333333
"407","Pocilloporidae","Southern Sector",2013,"CBIL",0
"408","Pocilloporidae","Southern Sector",2013,"CBOB",0.333333333333333
"409","Pocilloporidae","Southern Sector",2014,"CBBR",0.333333333333333
"410","Pocilloporidae","Southern Sector",2014,"CBIL",0.2
"411","Pocilloporidae","Southern Sector",2014,"CBLN",0.4
"412","Pocilloporidae","Southern Sector",2014,"CBOB",0.533333333333333
"413","Pocilloporidae","Southern Sector",2015,"CBBR",0.333333333333333
"414","Pocilloporidae","Southern Sector",2015,"CBIL",0.2
"415","Pocilloporidae","Southern Sector",2015,"CBLN",0.571428571428571
"416","Pocilloporidae","Southern Sector",2015,"CBOB",1.6
"417","Pocilloporidae","Southern Sector",2016,"CBBR",0.533333333333333
"418","Pocilloporidae","Southern Sector",2016,"CBIL",0.533333333333333
