"","sample","length","campaignid","scientific"
"118","NCB1178",472.7681,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"119","NCB1054",550.34576,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"120","NMP_20190803_MF-1_BRUV",495.45784,"2019-08_Ningaloo.MP.Monitoring_stereoBRUVs","Lethrinus nebulosus"
"121","NMP_20190803_MF-1_BRUV",577.98706,"2019-08_Ningaloo.MP.Monitoring_stereoBRUVs","Lethrinus nebulosus"
"122","NMP_20190803_MF-1_BRUV",564.81946,"2019-08_Ningaloo.MP.Monitoring_stereoBRUVs","Lethrinus nebulosus"
"123","NMP_20190803_MF-1_BRUV",537.40862,"2019-08_Ningaloo.MP.Monitoring_stereoBRUVs","Lethrinus nebulosus"
"124","NMP_20190803_MF-1_BRUV",531.10235,"2019-08_Ningaloo.MP.Monitoring_stereoBRUVs","Lethrinus nebulosus"
"125","NMP_20190803_MF-3_BRUV",484.38391,"2019-08_Ningaloo.MP.Monitoring_stereoBRUVs","Lethrinus nebulosus"
"126","NMP_20190803_MF-5_BRUV",429.42536,"2019-08_Ningaloo.MP.Monitoring_stereoBRUVs","Lethrinus nebulosus"
"127","NMP_20190803_MF-5_BRUV",319.64094,"2019-08_Ningaloo.MP.Monitoring_stereoBRUVs","Lethrinus nebulosus"
"128","NMP_20190803_MF-7_BRUV",540.55549,"2019-08_Ningaloo.MP.Monitoring_stereoBRUVs","Lethrinus nebulosus"
"129","NMP_20190803_MF-7_BRUV",609.58056,"2019-08_Ningaloo.MP.Monitoring_stereoBRUVs","Lethrinus nebulosus"
"130","NMP_20190803_MF-7_BRUV",577.77592,"2019-08_Ningaloo.MP.Monitoring_stereoBRUVs","Lethrinus nebulosus"
"131","NMP_20190803_MF-9_BRUV",555.26793,"2019-08_Ningaloo.MP.Monitoring_stereoBRUVs","Lethrinus nebulosus"
"132","NMP_20190803_MF-10_BRUV",474.98361,"2019-08_Ningaloo.MP.Monitoring_stereoBRUVs","Lethrinus nebulosus"
"133","NMP_20190803_MF-11_BRUV",560.83022,"2019-08_Ningaloo.MP.Monitoring_stereoBRUVs","Lethrinus nebulosus"
"134","NMP_20190803_MF-11_BRUV",533.96975,"2019-08_Ningaloo.MP.Monitoring_stereoBRUVs","Lethrinus nebulosus"
"135","NMP_20190803_MF-12_BRUV",565.76144,"2019-08_Ningaloo.MP.Monitoring_stereoBRUVs","Lethrinus nebulosus"
"136","NMP_20190803_MF-12_BRUV",488.87328,"2019-08_Ningaloo.MP.Monitoring_stereoBRUVs","Lethrinus nebulosus"
"137","NMP_20190803_MF-14_BRUV",549.77527,"2019-08_Ningaloo.MP.Monitoring_stereoBRUVs","Lethrinus nebulosus"
"138","NMP_20190803_MF-14_BRUV",598.2668,"2019-08_Ningaloo.MP.Monitoring_stereoBRUVs","Lethrinus nebulosus"
"139","NMP_20190803_MF-22_BRUV",510.30815,"2019-08_Ningaloo.MP.Monitoring_stereoBRUVs","Lethrinus nebulosus"
"140","NMP_20190803_MF-24_BRUV",519.17746,"2019-08_Ningaloo.MP.Monitoring_stereoBRUVs","Lethrinus nebulosus"
"141","NMP_20190803_MF-25_BRUV",580.32581,"2019-08_Ningaloo.MP.Monitoring_stereoBRUVs","Lethrinus nebulosus"
"142","NMP_20190803_MF-25_BRUV",556.07915,"2019-08_Ningaloo.MP.Monitoring_stereoBRUVs","Lethrinus nebulosus"
"143","NMP_20190803_MF-29_BRUV",490.37063,"2019-08_Ningaloo.MP.Monitoring_stereoBRUVs","Lethrinus nebulosus"
"144","NMP_20190803_MF-29_BRUV",381.10615,"2019-08_Ningaloo.MP.Monitoring_stereoBRUVs","Lethrinus nebulosus"
"145","NMP_20190803_MF-29_BRUV",397.68296,"2019-08_Ningaloo.MP.Monitoring_stereoBRUVs","Lethrinus nebulosus"
"146","NMP_20190803_MF-30_BRUV",605.59903,"2019-08_Ningaloo.MP.Monitoring_stereoBRUVs","Lethrinus nebulosus"
"147","NMP_20190804_MF-36_BRUV",566.46303,"2019-08_Ningaloo.MP.Monitoring_stereoBRUVs","Lethrinus nebulosus"
"148","NMP_20190804_MF-36_BRUV",542.33738,"2019-08_Ningaloo.MP.Monitoring_stereoBRUVs","Lethrinus nebulosus"
"149","NMP_20190804_MF-40_BRUV",539.71692,"2019-08_Ningaloo.MP.Monitoring_stereoBRUVs","Lethrinus nebulosus"
"150","NMP_20190804_MF-40_BRUV",569.19194,"2019-08_Ningaloo.MP.Monitoring_stereoBRUVs","Lethrinus nebulosus"
"151","NMP_20190804_MF-40_BRUV",597.12302,"2019-08_Ningaloo.MP.Monitoring_stereoBRUVs","Lethrinus nebulosus"
"152","NMP_20190804_MS-41_BRUV",554.05048,"2019-08_Ningaloo.MP.Monitoring_stereoBRUVs","Lethrinus nebulosus"
"153","NMP_20190804_MS-41_BRUV",615.38868,"2019-08_Ningaloo.MP.Monitoring_stereoBRUVs","Lethrinus nebulosus"
"154","NMP_20190804_MS-41_BRUV",578.40722,"2019-08_Ningaloo.MP.Monitoring_stereoBRUVs","Lethrinus nebulosus"
"155","NMP_20190804_MS-41_BRUV",593.9737,"2019-08_Ningaloo.MP.Monitoring_stereoBRUVs","Lethrinus nebulosus"
"156","NMP_20190804_MS-42_BRUV",413.14776,"2019-08_Ningaloo.MP.Monitoring_stereoBRUVs","Lethrinus nebulosus"
"157","NMP_20190804_MS-42_BRUV",426.97316,"2019-08_Ningaloo.MP.Monitoring_stereoBRUVs","Lethrinus nebulosus"
"158","NMP_20190804_MS-42_BRUV",515.2428,"2019-08_Ningaloo.MP.Monitoring_stereoBRUVs","Lethrinus nebulosus"
"159","NMP_20190804_MS-42_BRUV",403.29453,"2019-08_Ningaloo.MP.Monitoring_stereoBRUVs","Lethrinus nebulosus"
"160","NMP_20190804_MS-42_BRUV",415.11073,"2019-08_Ningaloo.MP.Monitoring_stereoBRUVs","Lethrinus nebulosus"
