"","campaignid","sample","family","genus","species","code","length","precision","rms","range","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length","comment"
"36","2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","NCB1188","Lethrinidae","Lethrinus","nebulosus","37351008","316.64852","0.71323","2.40836","1175.02283","-22.2229","113.8249","20150826","8:44:00","Osprey.Sanctuary","No-take","O6","32.5","Matt Birt","Yes","Yes",NA
"37","2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","NCB1188","Lethrinidae","Lethrinus","nebulosus","37351008","366.15629","0.81091","6.62381","1261.24915","-22.2229","113.8249","20150826","8:44:00","Osprey.Sanctuary","No-take","O6","32.5","Matt Birt","Yes","Yes",NA
"38","2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","NCB1188","Lethrinidae","Lethrinus","nebulosus","37351008","263.55184","1.58865","10.60482","1142.78521","-22.2229","113.8249","20150826","8:44:00","Osprey.Sanctuary","No-take","O6","32.5","Matt Birt","Yes","Yes",NA
"39","2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","NCB1188","Lethrinidae","Lethrinus","nebulosus","37351008","505.26349","1.29296","15.43279","841.30068","-22.2229","113.8249","20150826","8:44:00","Osprey.Sanctuary","No-take","O6","32.5","Matt Birt","Yes","Yes",NA
"40","2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","NCB1188","Lethrinidae","Lethrinus","nebulosus","37351008","286.18055","0.92975","3.09092","1368.11228","-22.2229","113.8249","20150826","8:44:00","Osprey.Sanctuary","No-take","O6","32.5","Matt Birt","Yes","Yes",NA
"41","2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","NCB1188","Lethrinidae","Lethrinus","nebulosus","37351008","343.77473","1.36238","3.20227","1261.06168","-22.2229","113.8249","20150826","8:44:00","Osprey.Sanctuary","No-take","O6","32.5","Matt Birt","Yes","Yes",NA
"42","2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","NCB1188","Lethrinidae","Lethrinus","nebulosus","37351008","377.60387","2.76591","8.30758","1718.82114","-22.2229","113.8249","20150826","8:44:00","Osprey.Sanctuary","No-take","O6","32.5","Matt Birt","Yes","Yes",NA
"43","2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","NCB1188","Lethrinidae","Lethrinus","nebulosus","37351008","377.05445","0.87559","5.96991","1334.81090","-22.2229","113.8249","20150826","8:44:00","Osprey.Sanctuary","No-take","O6","32.5","Matt Birt","Yes","Yes",NA
"44","2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","NCB1048","Lethrinidae","Lethrinus","nebulosus","37351008","450.55183","3.38036","2.92068","3817.28698","-22.5266","113.6439","20150820","12:56:00","Between.Winderabandi.and.Cloates","Fished","CN2","53.6","Todd Bond","Yes","Yes",NA
"45","2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","NCB1174","Lethrinidae","Lethrinus","nebulosus","37351008","605.43625","26.29580","19.98188","6655.42423","-22.2599","113.8073","20150825","13:33:00","Osprey.Sanctuary","No-take","O5","39.4","Matt Birt","Yes","Yes",NA
"46","2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","NCB1182","Lethrinidae","Lethrinus","nebulosus","37351008","364.46439","2.99347","0.45776","1594.34870","-22.2912","113.7942","20150826","8:09:00","Osprey.Sanctuary","No-take","O3","28.4","Brigit Vaughan","Yes","Yes",NA
"47","2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","NCB1182","Lethrinidae","Lethrinus","nebulosus","37351008","319.19673","3.14973","3.11320","1510.97711","-22.2912","113.7942","20150826","8:09:00","Osprey.Sanctuary","No-take","O3","28.4","Brigit Vaughan","Yes","Yes",NA
"48","2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","NCB1182","Lethrinidae","Lethrinus","nebulosus","37351008","480.50431","4.96007","1.71730","1876.68506","-22.2912","113.7942","20150826","8:09:00","Osprey.Sanctuary","No-take","O3","28.4","Brigit Vaughan","Yes","Yes",NA
"49","2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","NCB1152","Lethrinidae","Lethrinus","nebulosus","37351008","438.14262","1.01727","2.30707","1542.28398","-22.8887","113.7136","20150824","13:32:00","Cloates.Sanctuary","No-take","C1","43.8","Todd Bond","Yes","Yes",NA
"50","2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","NCB1152","Lethrinidae","Lethrinus","nebulosus","37351008","503.15658","1.62761","2.74273","1510.19934","-22.8887","113.7136","20150824","13:32:00","Cloates.Sanctuary","No-take","C1","43.8","Todd Bond","Yes","Yes",NA
"51","2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","NCB1180","Lethrinidae","Lethrinus","nebulosus","37351008","555.61666","6.77824","18.03029","2607.92177","-22.3126","113.7778","20150826","7:56:00","Osprey.Sanctuary","No-take","O2","28.1","Matt Birt","Yes","Yes",NA
"52","2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","NCB1039","Lethrinidae","Lethrinus","nebulosus","37351008","649.46525","49.44551","15.01969","5655.29255","-22.381","113.7293","20150820","9:22:00","Winderabandi.deep.outside","Fished","CN5","46.5","Todd Bond","Yes","Yes",NA
"53","2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","NCB1173","Lethrinidae","Lethrinus","nebulosus","37351008","678.65589","14.46167","3.77467","3853.10920","-22.2704","113.7979","20150825","13:23:00","Osprey.Sanctuary","No-take","O4","51.1","Brigit Vaughan","Yes","Yes",NA
"54","2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","NCB1173","Lethrinidae","Lethrinus","nebulosus","37351008","418.25435","0.70614","1.82397","1069.51358","-22.2704","113.7979","20150825","13:23:00","Osprey.Sanctuary","No-take","O4","51.1","Brigit Vaughan","Yes","Yes",NA
"55","2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","NCB1173","Lethrinidae","Lethrinus","nebulosus","37351008","429.45682","0.91540","1.81066","1446.46434","-22.2704","113.7979","20150825","13:23:00","Osprey.Sanctuary","No-take","O4","51.1","Brigit Vaughan","Yes","Yes",NA
"56","2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","NCB1173","Lethrinidae","Lethrinus","nebulosus","37351008","563.41035","4.95895","4.73348","2027.19941","-22.2704","113.7979","20150825","13:23:00","Osprey.Sanctuary","No-take","O4","51.1","Brigit Vaughan","Yes","Yes",NA
"57","2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","NCB1173","Lethrinidae","Lethrinus","nebulosus","37351008","426.47276","2.26746","2.68923","2071.65917","-22.2704","113.7979","20150825","13:23:00","Osprey.Sanctuary","No-take","O4","51.1","Brigit Vaughan","Yes","Yes",NA
"58","2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","NCB1173","Lethrinidae","Lethrinus","nebulosus","37351008","426.22841","0.80242","3.90273","1281.00906","-22.2704","113.7979","20150825","13:23:00","Osprey.Sanctuary","No-take","O4","51.1","Brigit Vaughan","Yes","Yes",NA
"59","2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","NCB1041","Lethrinidae","Lethrinus","nebulosus","37351008","398.27966","6.12044","1.87183","2851.79400","-22.4147","113.7137","20150820","9:43:00","Winderabandi.deep.outside","Fished","CN5","43.9","Izzy Lindgren","Yes","Yes",NA
"60","2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","NCB1041","Lethrinidae","Lethrinus","nebulosus","37351008","371.10218","6.02026","2.90140","3662.29004","-22.4147","113.7137","20150820","9:43:00","Winderabandi.deep.outside","Fished","CN5","43.9","Izzy Lindgren","Yes","Yes",NA
"61","2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","NCB1041","Lethrinidae","Lethrinus","nebulosus","37351008","456.62892","9.83556","7.62423","2699.70137","-22.4147","113.7137","20150820","9:43:00","Winderabandi.deep.outside","Fished","CN5","43.9","Izzy Lindgren","Yes","Yes",NA
"62","2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","NCB1149","Lethrinidae","Lethrinus","nebulosus","37351008","453.62579","1.24319","7.57208","1375.50719","-22.9818","113.7262","20150824","9:53:00","Between.Cloates.and.Maud","Fished","PN5","48.3","Nicole Ryan","Yes","Yes",NA
"63","2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","NCB1149","Lethrinidae","Lethrinus","nebulosus","37351008","441.71084","2.43093","1.00461","1534.66883","-22.9818","113.7262","20150824","9:53:00","Between.Cloates.and.Maud","Fished","PN5","48.3","Nicole Ryan","Yes","Yes",NA
"64","2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","NCB1149","Lethrinidae","Lethrinus","nebulosus","37351008","453.67895","0.91796","8.25439","1396.05383","-22.9818","113.7262","20150824","9:53:00","Between.Cloates.and.Maud","Fished","PN5","48.3","Nicole Ryan","Yes","Yes",NA
"65","2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","NCB1149","Lethrinidae","Lethrinus","nebulosus","37351008","431.99249","0.80816","3.38054","1186.68444","-22.9818","113.7262","20150824","9:53:00","Between.Cloates.and.Maud","Fished","PN5","48.3","Nicole Ryan","Yes","Yes",NA
"66","2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","NCB1186","Lethrinidae","Lethrinus","nebulosus","37351008","595.45052","6.62999","7.81852","2305.75158","-22.242","113.8166","20150826","8:33:00","Osprey.Sanctuary","No-take","O6","38.1","Brigit Vaughan","Yes","Yes",NA
"67","2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","NCB1186","Lethrinidae","Lethrinus","nebulosus","37351008","558.81920","3.43064","2.90412","1925.36828","-22.242","113.8166","20150826","8:33:00","Osprey.Sanctuary","No-take","O6","38.1","Brigit Vaughan","Yes","Yes",NA
"68","2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","NCB1186","Lethrinidae","Lethrinus","nebulosus","37351008","537.65790","4.50564","5.16821","2729.63292","-22.242","113.8166","20150826","8:33:00","Osprey.Sanctuary","No-take","O6","38.1","Brigit Vaughan","Yes","Yes",NA
"69","2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","NCB1186","Lethrinidae","Lethrinus","nebulosus","37351008","474.14137","1.41296","8.27202","1564.20703","-22.242","113.8166","20150826","8:33:00","Osprey.Sanctuary","No-take","O6","38.1","Brigit Vaughan","Yes","Yes",NA
"70","2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","NCB1186","Lethrinidae","Lethrinus","nebulosus","37351008","562.39648","4.01998","5.43149","1731.45046","-22.242","113.8166","20150826","8:33:00","Osprey.Sanctuary","No-take","O6","38.1","Brigit Vaughan","Yes","Yes",NA
"71","2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","NCB1211","Lethrinidae","Lethrinus","nebulosus","37351008","572.09701","8.39607","4.17061","3864.58462","-22.0395","113.8867","20150826","15:24:00","North.Mandu","Fished","MAN1","39.4","Matt Birt","Yes","Yes",NA
"72","2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","NCB1211","Lethrinidae","Lethrinus","nebulosus","37351008","562.09266","5.35452","3.74504","1992.40321","-22.0395","113.8867","20150826","15:24:00","North.Mandu","Fished","MAN1","39.4","Matt Birt","Yes","Yes",NA
"73","2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","NCB1211","Lethrinidae","Lethrinus","nebulosus","37351008","522.36650","21.05521","16.88928","4938.47535","-22.0395","113.8867","20150826","15:24:00","North.Mandu","Fished","MAN1","39.4","Matt Birt","Yes","Yes",NA
"74","2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","NCB1211","Lethrinidae","Lethrinus","nebulosus","37351008","440.71713","24.45165","3.67494","4675.99781","-22.0395","113.8867","20150826","15:24:00","North.Mandu","Fished","MAN1","39.4","Matt Birt","Yes","Yes",NA
"75","2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","NCB1187","Lethrinidae","Lethrinus","nebulosus","37351008","378.35514","17.75616","7.51130","4562.80706","-22.2308","113.8224","20150826","8:38:00","Osprey.Sanctuary","No-take","O6","30.9","Brigit Vaughan","Yes","Yes",NA
"76","2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","NCB1165","Lethrinidae","Lethrinus","nebulosus","37351008","334.19528","2.68553","5.71220","1493.11961","-22.6704","113.5918","20150825","9:18:00","Cloates.Sanctuary","No-take","C5","39.9","Matt Birt","Yes","Yes",NA
"77","2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","NCB1165","Lethrinidae","Lethrinus","nebulosus","37351008","487.44268","1.90483","2.70022","1205.11787","-22.6704","113.5918","20150825","9:18:00","Cloates.Sanctuary","No-take","C5","39.9","Matt Birt","Yes","Yes",NA
"78","2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","NCB1209","Lethrinidae","Lethrinus","nebulosus","37351008","610.35726","4.45156","12.94664","1790.96707","-22.0654","113.8794","20150826","15:07:00","North.Mandu","Fished","MAN1","40.8","Katrina Bornt","Yes","Yes",NA
"79","2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","NCB1216","Lethrinidae","Lethrinus","nebulosus","37351008","522.36483","3.35670","2.84266","1897.95428","-21.9673","113.9013","20150827","8:28:00","North.Mandu","Fished","MAN3","50","Arthur de Lima","Yes","Yes",NA
"80","2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","NCB1181","Lethrinidae","Lethrinus","nebulosus","37351008","233.89982","1.19002","4.26006","1573.33394","-22.3031","113.7885","20150826","8:02:00","Osprey.Sanctuary","No-take","O3","32.5","Brigit Vaughan","Yes","Yes",NA
"81","2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","NCB1181","Lethrinidae","Lethrinus","nebulosus","37351008","427.55366","6.22011","1.18419","3350.25427","-22.3031","113.7885","20150826","8:02:00","Osprey.Sanctuary","No-take","O3","32.5","Brigit Vaughan","Yes","Yes",NA
"82","2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","NCB1164","Lethrinidae","Lethrinus","nebulosus","37351008","400.01945","3.27473","4.39736","2046.63067","-22.6884","113.5936","20150825","9:10:00","Cloates.Sanctuary","No-take","C5","43.9","Brigit Vaughan","Yes","Yes",NA
"83","2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","NCB1164","Lethrinidae","Lethrinus","nebulosus","37351008","420.81459","19.64565","17.86440","6947.53693","-22.6884","113.5936","20150825","9:10:00","Cloates.Sanctuary","No-take","C5","43.9","Brigit Vaughan","Yes","Yes",NA
"84","2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","NCB1164","Lethrinidae","Lethrinus","nebulosus","37351008","393.93369","2.43325","3.17321","2030.05262","-22.6884","113.5936","20150825","9:10:00","Cloates.Sanctuary","No-take","C5","43.9","Brigit Vaughan","Yes","Yes",NA
"85","2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","NCB1164","Lethrinidae","Lethrinus","nebulosus","37351008","405.08391","4.15868","4.80217","3115.67497","-22.6884","113.5936","20150825","9:10:00","Cloates.Sanctuary","No-take","C5","43.9","Brigit Vaughan","Yes","Yes",NA
"86","2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","NCB1164","Lethrinidae","Lethrinus","nebulosus","37351008","427.56621","4.93564","1.85073","1951.13526","-22.6884","113.5936","20150825","9:10:00","Cloates.Sanctuary","No-take","C5","43.9","Brigit Vaughan","Yes","Yes",NA
"87","2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","NCB1164","Lethrinidae","Lethrinus","nebulosus","37351008","531.55316","3.30306","2.70942","2392.62630","-22.6884","113.5936","20150825","9:10:00","Cloates.Sanctuary","No-take","C5","43.9","Brigit Vaughan","Yes","Yes",NA
"88","2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","NCB1164","Lethrinidae","Lethrinus","nebulosus","37351008","442.76514","5.44920","6.41573","2078.30430","-22.6884","113.5936","20150825","9:10:00","Cloates.Sanctuary","No-take","C5","43.9","Brigit Vaughan","Yes","Yes",NA
"89","2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","NCB1164","Lethrinidae","Lethrinus","nebulosus","37351008","366.39702","5.74495","1.93474","2116.55221","-22.6884","113.5936","20150825","9:10:00","Cloates.Sanctuary","No-take","C5","43.9","Brigit Vaughan","Yes","Yes",NA
"90","2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","NCB1164","Lethrinidae","Lethrinus","nebulosus","37351008","432.92027","8.09513","8.06243","2413.70985","-22.6884","113.5936","20150825","9:10:00","Cloates.Sanctuary","No-take","C5","43.9","Brigit Vaughan","Yes","Yes",NA
"91","2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","NCB1164","Lethrinidae","Lethrinus","nebulosus","37351008","480.18555","6.11646","5.03868","3277.45111","-22.6884","113.5936","20150825","9:10:00","Cloates.Sanctuary","No-take","C5","43.9","Brigit Vaughan","Yes","Yes",NA
"92","2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","NCB1164","Lethrinidae","Lethrinus","nebulosus","37351008","363.67618","5.17253","0.80524","2504.48346","-22.6884","113.5936","20150825","9:10:00","Cloates.Sanctuary","No-take","C5","43.9","Brigit Vaughan","Yes","Yes",NA
